Class,Avg Hours Studied,Avg Grade
MAE130B,12.63,N/A
MAE130B,6.36,N/A
MAE130B,12.21,2.82
MAE130B,9.14,3.00
MAE130B,10.42,2.79
MAE130B,9.36,2.79
MAE130B,9.77,N/A
MAE130B,8.17,3.42
MAE130B,10.86,N/A
MAE130B,9.0,2.76
MAE130B,6.73,3.00
MAE130B,6.85,3.14
MAE130B,8.46,3.15
MAE130B,7.07,3.01
MAE130B,7.7,2.92
MAE130B,6.5,3.19
MAE130B,8.6,2.87
MAE130B,8.5,2.28
MAE130B,10.75,3.13
MAE130B,7.32,2.83
MAE130B,9.38,2.66
MAE130B,11.1,2.81
MAE130B,14.5,2.81
MAE130B,8.88,2.88
MAE130B,7.95,2.88
MAE130B,8.69,2.62
MAE130B,10.71,2.62
MAE130B,10.5,2.74
MAE130B,11.9,2.74
MAE130B,7.92,3.04
MAE130B,9.39,2.66
MAE130B,10.58,N/A
MAE130B,7.72,2.80
MAE130B,7.57,2.57
MAE130B,9.67,N/A
MAE130B,6.89,2.75
MAE130B,8.31,2.31
MAE130B,9.52,N/A
MAE130B,6.76,3.29
MAE130B,6.93,2.70
MAE130B,8.44,N/A

