Class,Avg Hours Studied,Avg Grade
CHEM6B,5.87,N/A
CHEM6B,7.06,N/A
CHEM6B,4.99,N/A
CHEM6B,6.6,N/A
CHEM6B,6.44,N/A
CHEM6B,7.06,N/A
CHEM6B,4.68,N/A
CHEM6B,7.26,N/A
CHEM6B,6.8,2.63
CHEM6B,9.95,2.82
CHEM6B,9.8,2.85
CHEM6B,7.19,2.40
CHEM6B,6.38,2.76
CHEM6B,6.3,2.53
CHEM6B,7.11,2.78
CHEM6B,7.4,2.91
CHEM6B,8.16,3.04
CHEM6B,6.19,2.71
CHEM6B,6.54,3.07
CHEM6B,6.33,3.48
CHEM6B,7.57,2.73
CHEM6B,9.97,N/A
CHEM6B,9.57,2.86
CHEM6B,8.12,2.89
CHEM6B,7.05,2.65
CHEM6B,7.07,2.55
CHEM6B,6.6,2.69
CHEM6B,7.2,2.86
CHEM6B,6.35,2.73
CHEM6B,7.89,3.05
CHEM6B,7.53,2.73
CHEM6B,7.75,3.45
CHEM6B,5.79,2.70
CHEM6B,11.58,2.69
CHEM6B,8.5,2.86
CHEM6B,7.11,3.20
CHEM6B,6.55,3.20
CHEM6B,6.28,3.24
CHEM6B,6.25,2.86
CHEM6B,5.29,2.79
CHEM6B,7.57,2.83
CHEM6B,7.65,3.03
CHEM6B,7.37,3.46
CHEM6B,7.83,2.64
CHEM6B,9.3,2.53
CHEM6B,8.5,2.63
CHEM6B,7.67,2.64
CHEM6B,5.88,2.46
CHEM6B,5.9,2.98
CHEM6B,6.81,2.75
CHEM6B,5.05,2.87
CHEM6B,6.28,2.77
CHEM6B,7.54,2.84
CHEM6B,7.21,3.28
CHEM6B,7.04,2.62
CHEM6B,9.07,2.73
CHEM6B,8.3,2.73
CHEM6B,7.31,2.58
CHEM6B,7.48,2.75
CHEM6B,6.73,2.75
CHEM6B,7.11,2.70
CHEM6B,5.42,2.98
CHEM6B,6.88,2.75
CHEM6B,6.38,3.19
CHEM6B,5.98,2.76
CHEM6B,9.62,2.87
CHEM6B,8.5,2.56
CHEM6B,7.67,2.71
CHEM6B,7.01,2.71
CHEM6B,5.37,3.25
CHEM6B,8.09,2.79
CHEM6B,6.52,2.88
CHEM6B,7.5,2.64
CHEM6B,7.65,3.23
CHEM6B,7.47,2.74
CHEM6B,11.7,2.74
CHEM6B,9.63,2.52
CHEM6B,7.53,2.31
CHEM6B,8.63,2.83
CHEM6B,5.45,2.84
CHEM6B,7.36,2.86
CHEM6B,8.5,2.66
CHEM6B,7.49,2.66
CHEM6B,8.61,2.76
CHEM6B,8.45,3.06
CHEM6B,7.44,2.70
CHEM6B,11.17,2.75
CHEM6B,9.9,2.48
CHEM6B,7.67,2.55
CHEM6B,8.34,2.55
CHEM6B,6.06,2.79
CHEM6B,7.34,2.80
CHEM6B,8.42,2.90
CHEM6B,6.25,2.74
CHEM6B,8.1,2.64
CHEM6B,7.29,3.03
CHEM6B,7.36,2.46
CHEM6B,10.6,N/A
CHEM6B,9.33,N/A
CHEM6B,12.86,N/A
CHEM6B,7.34,2.29
CHEM6B,8.55,2.55
CHEM6B,8.97,2.97
CHEM6B,8.84,2.97
CHEM6B,5.06,2.64
CHEM6B,7.23,2.80
CHEM6B,8.41,2.89
CHEM6B,8.82,2.89
CHEM6B,7.58,2.67
CHEM6B,7.56,3.45
CHEM6B,8.57,2.88
CHEM6B,8.34,2.88
CHEM6B,6.2,2.60
CHEM6B,9.62,2.87
CHEM6B,8.2,2.87
CHEM6B,10.0,N/A
CHEM6B,8.68,N/A
CHEM6B,11.96,N/A
CHEM6B,6.59,2.64
CHEM6B,6.33,2.57
CHEM6B,5.27,2.79
CHEM6B,10.38,2.94
CHEM6B,9.25,2.94
CHEM6B,7.18,2.53
CHEM6B,6.45,2.68
CHEM6B,5.1,2.54
CHEM6B,6.91,2.57
CHEM6B,6.81,2.76
CHEM6B,7.17,3.50
CHEM6B,8.65,2.95
CHEM6B,7.56,2.95
CHEM6B,7.55,2.63
CHEM6B,9.19,2.99
CHEM6B,10.59,2.99
CHEM6B,8.74,N/A
CHEM6B,8.82,N/A
CHEM6B,11.6,N/A
CHEM6B,6.08,2.82
CHEM6B,4.77,2.78
CHEM6B,9.45,2.95
CHEM6B,9.05,2.95
CHEM6B,5.9,2.60
CHEM6B,5.22,2.74
CHEM6B,6.11,2.77
CHEM6B,5.95,2.77
CHEM6B,6.55,2.60
CHEM6B,6.27,3.18
CHEM6B,9.85,2.99
CHEM6B,8.25,2.99
CHEM6B,5.05,2.54
CHEM6B,8.43,3.03
CHEM6B,9.92,3.03
CHEM6B,7.29,N/A
CHEM6B,12.5,N/A

