Class,Avg Hours Studied,Avg Grade
CHEM140A,8.56,N/A
CHEM140A,9.47,2.83
CHEM140A,8.22,2.85
CHEM140A,6.51,2.83
CHEM140A,8.52,2.60
CHEM140A,9.47,2.76
CHEM140A,8.38,2.65
CHEM140A,9.79,2.70
CHEM140A,8.49,2.66
CHEM140A,7.73,2.61
CHEM140A,14.5,2.63
CHEM140A,9.9,3.25
CHEM140A,11.16,2.73
CHEM140A,9.85,2.67
CHEM140A,6.83,2.75
CHEM140A,8.33,2.78
CHEM140A,9.65,2.72
CHEM140A,8.44,2.79
CHEM140A,10.78,2.68
CHEM140A,8.71,2.75
CHEM140A,16.41,2.79
CHEM140A,13.55,3.32
CHEM140A,11.02,2.68
CHEM140A,9.86,2.60
CHEM140A,6.18,2.78
CHEM140A,7.41,2.45
CHEM140A,10.08,2.81
CHEM140A,7.98,2.62
CHEM140A,10.01,2.74
CHEM140A,8.28,2.71
CHEM140A,14.06,2.63
CHEM140A,12.33,2.80
CHEM140A,6.56,2.54
CHEM140A,6.94,2.74
CHEM140A,7.57,2.63
CHEM140A,9.51,2.80
CHEM140A,8.75,2.60
CHEM140A,10.9,2.66
CHEM140A,8.93,2.62
CHEM140A,15.41,2.69
CHEM140A,10.15,2.81
CHEM140A,7.05,2.73
CHEM140A,7.88,2.08
CHEM140A,6.16,2.74
CHEM140A,9.95,2.72
CHEM140A,9.73,2.74
CHEM140A,8.39,2.59
CHEM140A,7.07,2.58
CHEM140A,10.38,2.64
CHEM140A,11.36,N/A
CHEM140A,11.36,2.61
CHEM140A,9.26,2.57
CHEM140A,8.35,2.72
CHEM140A,9.75,2.72
CHEM140A,6.69,2.54
CHEM140A,11.79,2.66
CHEM140A,8.07,2.32
CHEM140A,9.46,2.69
CHEM140A,8.94,2.80
CHEM140A,12.27,2.57
CHEM140A,11.47,2.66
CHEM140A,8.98,2.61
CHEM140A,8.37,2.48
CHEM140A,8.06,2.52
CHEM140A,7.82,2.52
CHEM140A,11.6,2.68
CHEM140A,7.75,2.39
CHEM140A,8.99,2.65
CHEM140A,9.06,2.68
CHEM140A,12.66,N/A
CHEM140A,7.83,2.41
CHEM140A,8.1,2.47
CHEM140A,8.62,2.60
CHEM140A,6.97,2.37
CHEM140A,9.49,2.72
CHEM140A,6.41,2.19
CHEM140A,7.2,2.68
CHEM140A,7.05,2.72
CHEM140A,12.21,N/A
CHEM140A,6.81,2.41
CHEM140A,7.39,2.64
CHEM140A,7.6,2.58
CHEM140A,10.14,2.71
CHEM140A,6.57,2.44
CHEM140A,8.7,2.49
CHEM140A,5.86,2.72
CHEM140A,10.54,N/A
CHEM140A,15.28,N/A
CHEM140A,8.01,2.69
CHEM140A,5.65,2.56
CHEM140A,6.23,2.52
CHEM140A,7.33,2.66
CHEM140A,10.21,2.68
CHEM140A,7.19,2.51
CHEM140A,11.99,N/A

