Class,Avg Hours Studied,Avg Grade
MATH20A,5.69,N/A
MATH20A,6.24,N/A
MATH20A,6.34,2.26
MATH20A,5.34,2.72
MATH20A,5.17,2.57
MATH20A,5.32,2.76
MATH20A,7.9,2.44
MATH20A,6.38,2.56
MATH20A,8.03,1.88
MATH20A,5.73,1.76
MATH20A,5.63,2.51
MATH20A,5.99,2.66
MATH20A,5.63,2.79
MATH20A,4.65,2.79
MATH20A,6.26,3.84
MATH20A,8.28,2.16
MATH20A,6.69,2.41
MATH20A,5.48,2.51
MATH20A,6.45,2.36
MATH20A,6.12,2.87
MATH20A,6.7,2.38
MATH20A,5.75,2.50
MATH20A,5.55,2.51
MATH20A,7.39,3.29
MATH20A,8.21,3.43
MATH20A,5.57,2.83
MATH20A,5.5,2.93
MATH20A,6.02,2.40
MATH20A,5.81,2.81
MATH20A,4.63,2.92
MATH20A,5.65,2.91
MATH20A,5.58,3.04
MATH20A,11.5,3.03
MATH20A,5.67,2.91
MATH20A,6.08,2.36
MATH20A,6.24,3.45
MATH20A,6.08,2.85
MATH20A,6.19,3.17
MATH20A,4.81,3.17
MATH20A,5.27,2.86
MATH20A,8.9,2.68
MATH20A,6.21,2.32
MATH20A,6.55,1.87
MATH20A,6.39,2.50
MATH20A,5.23,2.72
MATH20A,5.69,2.53
MATH20A,5.84,2.62
MATH20A,5.69,3.02
MATH20A,6.83,1.71
MATH20A,7.47,2.49
MATH20A,6.47,2.43
MATH20A,5.75,2.68
MATH20A,5.63,2.41
MATH20A,6.04,2.39
MATH20A,6.17,2.62
MATH20A,5.57,2.63
MATH20A,5.39,2.84
MATH20A,6.54,2.27
MATH20A,6.45,2.70
MATH20A,5.2,2.74
MATH20A,5.83,2.95
MATH20A,5.97,2.89
MATH20A,9.21,3.14
MATH20A,7.25,2.47
MATH20A,5.7,2.38
MATH20A,6.94,2.46
MATH20A,6.18,2.46
MATH20A,5.63,2.60
MATH20A,13.83,N/A
MATH20A,10.0,N/A
MATH20A,6.08,2.53
MATH20A,7.29,2.73
MATH20A,5.71,2.59
MATH20A,5.42,2.26
MATH20A,4.67,2.93
MATH20A,5.22,2.68
MATH20A,7.83,N/A
MATH20A,5.6,2.55
MATH20A,5.22,2.50
MATH20A,5.69,2.28
MATH20A,6.17,2.26
MATH20A,6.79,2.64
MATH20A,4.85,2.64
MATH20A,7.25,N/A
MATH20A,6.1,2.75
MATH20A,5.78,2.14
MATH20A,6.98,2.78
MATH20A,4.54,2.43
MATH20A,5.29,2.34
MATH20A,6.93,N/A

