Class,Avg Hours Studied,Avg Grade
BICD100,4.46,2.52
BICD100,4.63,2.88
BICD100,4.22,2.88
BICD100,5.03,2.61
BICD100,4.33,3.28
BICD100,5.7,2.48
BICD100,6.26,N/A
BICD100,7.11,N/A
BICD100,6.19,2.67
BICD100,4.24,3.33
BICD100,5.27,2.65
BICD100,5.65,2.65
BICD100,5.4,2.53
BICD100,4.68,1.86
BICD100,5.7,2.45
BILD1,4.15,N/A
BILD1,4.87,N/A
BILD1,5.79,N/A
BILD1,3.7,N/A
BILD1,5.25,2.35
BILD1,5.13,2.89
BILD1,5.65,3.31
BILD1,3.67,3.40
BILD1,8.2,2.44
BILD1,7.46,2.86
BILD1,5.61,3.39
BILD1,7.61,2.89
BILD1,6.5,N/A
BILD1,5.85,2.92
BILD1,3.75,3.24
BILD1,4.84,3.13
BILD1,3.22,3.19
BILD1,5.01,3.00
BILD1,4.06,3.30
BILD1,4.56,2.80
BILD1,5.15,2.81
BILD1,5.03,3.07
BILD1,3.79,3.57
BILD1,6.54,N/A
BILD1,6.86,2.94
BILD1,6.88,3.05
BILD1,5.83,3.67
BILD1,5.4,2.88
BILD1,5.22,2.95
BILD1,3.26,2.82
BILD1,5.32,2.61
BILD1,4.77,3.05
BILD1,4.41,2.83
BILD1,5.43,2.90
BILD1,4.17,3.24
BILD1,4.22,3.61
BILD1,5.9,3.48
BILD1,5.67,2.87
BILD1,3.7,3.58
BILD1,5.14,2.84
BILD1,5.04,2.88
BILD1,3.07,3.12
BILD1,5.41,3.03
BILD1,5.66,3.00
BILD1,5.77,2.97
BILD1,5.51,2.85
BILD1,4.5,3.34
BILD1,7.56,N/A
BILD1,10.21,3.15
BILD1,5.17,3.66
BILD1,5.65,2.60
BILD1,5.82,2.72
BILD1,2.95,3.24
BILD1,5.78,3.37
BILD1,5.12,2.70
BILD1,4.1,3.06
BILD1,5.61,2.71
BILD1,5.44,2.65
BILD1,7.21,2.72
BILD1,5.5,3.52
BILD1,4.53,2.93
BILD1,5.08,3.52
BILD1,3.38,3.72
BILD1,5.49,3.16
BILD1,5.94,2.83
BILD1,4.34,3.34
BILD1,3.33,3.33
BILD1,5.75,3.00
BILD1,4.52,2.89
BILD1,3.47,2.91
BILD1,8.55,2.56
BILD1,5.21,3.73
BILD1,4.83,2.97
BILD1,4.34,2.64
BILD1,3.33,3.65
BILD1,5.83,2.70
BILD1,6.48,2.70
BILD1,4.28,3.33
BILD1,3.93,3.16
BILD1,6.86,2.49
BILD1,6.94,2.49
BILD1,2.87,3.46
BILD1,9.52,2.54
BILD1,5.36,3.57
BILD1,5.77,2.66
BILD1,3.4,3.58
BILD1,7.16,2.62
BILD1,6.82,2.99
BILD1,5.13,3.35
BILD1,5.9,2.84
BILD1,8.13,2.58
BILD1,3.45,3.31
BILD1,8.15,3.07
BILD1,5.23,3.39
BILD1,7.25,2.31
BILD1,2.93,3.37
BILD1,5.64,2.43
BILD1,5.89,2.84
BILD1,5.93,2.76
BILD1,6.68,2.46
BILD1,7.33,N/A
BILD1,7.46,N/A
BILD1,7.31,N/A
BILD1,4.85,N/A
BILD1,4.0,N/A
BILD1,5.76,2.46
BILD1,5.73,2.79
BILD1,3.56,3.50
BILD1,5.99,2.93
BILD1,5.0,2.29
BILD1,5.64,2.80
BILD1,3.71,3.45
BILD1,4.82,2.89
BILD1,5.87,2.78
BILD1,4.14,2.93
BILD1,5.89,N/A
BILD1,4.29,N/A
BILD1,3.5,N/A
BILD1,5.92,2.37
BILD1,4.24,2.85
BILD1,3.05,3.07
BILD1,2.65,3.47
BILD1,4.81,3.22
BILD1,4.53,2.58
BILD1,2.61,3.45
BILD1,4.68,2.96
BILD1,4.62,2.90
BILD1,4.54,2.73
BILD1,7.68,N/A
BILD1,7.67,N/A
BILD1,4.07,N/A
BILD1,4.23,N/A
BILD1,4.41,3.22
BILD1,4.83,3.07
BILD1,2.7,3.01
BILD1,2.07,3.75
BILD1,4.59,2.85
BILD1,5.27,2.55
BILD1,2.14,3.34
BILD1,5.68,2.66
BILD1,5.02,2.81
BILD1,3.85,2.92
BILD1,5.02,N/A
BILD1,7.73,N/A
BILD1,5.25,N/A
BILD1,2.85,N/A
BILD2,6.37,N/A
BILD2,6.05,N/A
BILD2,3.13,N/A
BILD2,4.7,3.36
BILD2,3.53,2.91
BILD2,7.75,3.28
BILD2,7.31,3.42
BILD2,6.14,3.29
BILD2,5.08,3.21
BILD2,3.24,3.57
BILD2,6.36,2.66
BILD2,5.05,3.17
BILD2,4.95,3.43
BILD2,5.27,2.64
BILD2,8.74,2.85
BILD2,6.94,2.62
BILD2,3.28,3.38
BILD2,6.24,2.71
BILD2,5.31,3.16
BILD2,6.72,2.65
BILD2,5.05,2.78
BILD2,3.99,2.65
BILD2,7.57,2.98
BILD2,5.93,2.51
BILD2,3.43,3.58
BILD2,6.44,3.19
BILD2,5.87,3.16
BILD2,5.1,2.65
BILD2,6.82,2.76
BILD2,5.1,2.59
BILD2,9.46,3.08
BILD2,6.16,2.94
BILD2,6.38,3.05
BILD2,3.49,3.31
BILD2,6.15,2.84
BILD2,6.12,3.19
BILD2,3.26,3.13
BILD2,5.22,2.64
BILD2,6.84,2.75
BILD2,5.41,2.47
BILD2,8.35,3.27
BILD2,5.91,2.76
BILD2,5.93,3.16
BILD2,3.62,3.41
BILD2,6.38,3.04
BILD2,4.89,2.28
BILD2,6.87,2.76
BILD2,6.09,2.51
BILD2,9.25,3.08
BILD2,5.87,2.81
BILD2,3.34,3.54
BILD2,7.22,2.72
BILD2,5.26,2.90
BILD2,6.78,3.00
BILD2,4.98,2.62
BILD2,7.33,2.88
BILD2,7.63,2.97
BILD2,3.26,3.56
BILD2,8.15,2.67
BILD2,5.08,2.66
BILD2,8.13,3.21
BILD2,6.13,3.02
BILD2,9.06,2.83
BILD2,6.46,2.87
BILD2,3.66,3.68
BILD2,7.57,2.50
BILD2,6.8,3.09
BILD2,5.28,2.82
BILD2,7.45,2.46
BILD2,6.65,2.77
BILD2,7.1,N/A
BILD2,5.13,3.10
BILD2,5.61,2.83
BILD2,3.47,2.64
BILD2,3.46,3.45
BILD2,7.38,2.70
BILD2,5.55,2.65
BILD2,6.66,2.19
BILD2,4.78,2.64
BILD2,4.03,3.13
BILD2,8.95,N/A
BILD2,4.94,2.88
BILD2,5.01,2.73
BILD2,2.58,3.14
BILD2,4.91,2.60
BILD2,5.4,2.36
BILD2,5.31,2.58
BILD2,4.11,3.10
BILD2,6.03,N/A
BILD2,6.94,N/A
BILD2,4.91,2.84
BILD2,4.99,2.86
BILD2,3.04,3.09
BILD2,5.74,2.60
BILD2,5.57,2.60
BILD2,5.71,2.59
BILD2,4.22,2.84
BILD2,6.06,2.94
BILD2,4.11,2.78
BILD2,7.39,N/A
BILD2,6.69,N/A
BILD2,5.93,N/A
BILD3,4.65,N/A
BILD3,5.35,N/A
BILD3,3.32,N/A
BILD3,5.73,2.80
BILD3,5.38,2.80
BILD3,3.88,2.47
BILD3,6.12,2.69
BILD3,5.58,2.81
BILD3,5.23,2.74
BILD3,4.51,2.96
BILD3,4.67,2.77
BILD3,4.51,2.94
BILD3,5.0,2.84
BILD3,5.17,2.84
BILD3,6.75,3.13
BILD3,6.69,2.64
BILD3,4.64,2.67
BILD3,4.6,2.88
BILD3,5.41,2.70
BILD3,4.98,2.83
BILD3,5.65,2.99
BILD3,6.15,2.99
BILD3,4.96,3.07
BILD3,6.63,2.89
BILD3,7.19,2.74
BILD3,4.84,2.82
BILD3,5.29,2.82
BILD3,3.06,3.24
BILD3,5.0,2.67
BILD3,5.2,2.99
BILD3,4.47,2.97
BILD3,3.97,2.97
BILD3,5.21,2.97
BILD3,6.73,2.97
BILD3,9.3,N/A
BILD3,5.01,2.74
BILD3,5.32,2.82
BILD3,5.52,2.68
BILD3,4.68,2.70
BILD3,4.29,3.36
BILD3,4.55,3.01
BILD3,4.8,3.01
BILD3,7.53,2.80
BILD3,7.38,3.05
BILD3,4.75,2.78
BILD3,4.95,2.78
BILD3,6.74,2.63
BILD3,4.21,3.38
BILD3,5.37,2.89
BILD3,5.13,2.76
BILD3,8.29,2.59
BILD3,9.33,N/A
BILD3,5.69,2.59
BILD3,5.01,2.71
BILD3,3.17,3.35
BILD3,4.69,2.62
BILD3,5.31,2.70
BILD3,9.02,2.82
BILD3,6.5,2.73
BILD3,5.86,3.06
BILD3,3.58,3.64
BILD3,3.83,3.64
BILD3,7.26,2.63
BILD3,6.77,2.68
BILD3,5.37,3.05
BILD3,3.5,3.51
BILD3,5.67,2.50
BILD3,5.32,2.93
BILD3,7.68,2.63
BILD3,7.08,2.66
BILD3,10.26,2.65
BILD3,5.48,2.72
BILD3,7.23,2.52
BILD3,3.67,3.22
BILD3,5.59,2.70
