State,County,FFRPTH14,PCT_NHWHITE10,PCT_NHBLACK10,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13,MEDHHINC15,POVRATE15,FMRKTPTH16
AK,Prince of Wales-Hyder,0,49.5772621,0.305810398,7.3,35.2,45305,15.6,0
AK,Sitka,0.449438202,63.51762189,0.484179709,6.7,28.7,68472,9.2,0.113250283
AK,Skagway,0,90.08264463,0,6.4,28.1,65878,3.7,0
AK,Southeast Fairbanks,0.28855865,78.74519846,1.01010101,6.9,33.1,60203,13.5,0.145433392
AK,Valdez-Cordova,0.94856661,72.11498547,0.466998755,7.4,30.4,70101,9.5,0.320684126
AK,Wade Hampton,0,2.667917951,0.013406623,4.6,32.6,,,0
AK,Wrangell,0,71.71802448,0.168847615,8.9,30.6,54500,12,0
AK,Yakutat,0,40.48338369,0.302114804,7.9,31.3,53795,15.4,0
AK,Yukon-Koyukuk,0,21.79670723,0.161059413,8.3,28.3,37755,23.4,0.180962722
AZ,Apache,0.222754358,20.36969714,0.219525155,14.4,35.2,31072,38,0.013677645
AZ,Cochise,0.478626577,58.47532471,3.758013187,10.3,26,43451,16.9,0.031804087
AZ,Coconino,0.871573626,55.22277025,1.112177413,7.6,23.2,51955,19.5,0.014193658
AZ,Gila,0.640072291,65.8581637,0.363826334,11.2,27.5,41346,21.3,0.037344088
AZ,Graham,0.421529626,52.34551316,1.700698549,10.3,32.5,44169,22.9,0.026596452
AZ,Greenlee,0.213995292,48.05025483,0.936351784,10.7,34.7,58854,10.1,0
AZ,La Paz,0.741436409,62.7361023,0.561276783,14.8,32,34835,22.2,0
AZ,Maricopa,0.68041841,58.68447312,4.649844372,9,25.4,56017,16.3,0.009191616
AZ,Mohave,0.560579462,79.61495809,0.856703266,12.8,29.6,40360,17.4,0.004872131
AZ,Navajo,0.499532844,43.91013411,0.783627581,13.1,30.9,37658,28.1,0.027266283
AZ,Pima,0.608253129,55.26068004,3.170067625,8.8,24.2,47107,18.7,0.026569416
AZ,Pinal,0.286128016,58.67578572,4.259786572,12.3,31.6,50888,15.8,0.002389258
AZ,Santa Cruz,0.578220366,15.9510755,0.187684521,8,23,34893,24.4,0.108731108
AZ,Yavapai,0.584891521,81.96253666,0.523140931,10.5,25.3,47220,15.1,0.035466967
AZ,Yuma,0.575654253,35.26010084,1.61889339,12.6,30.5,40426,21.1,0.00486308
AR,Arkansas,0.591588685,71.03948683,24.36510858,12.9,33.8,41179,20.7,0.109805644
AR,Ashley,0.716058812,68.18743422,25.71271679,14.5,42.1,39871,19.6,0.097599063
AR,Baxter,0.783219522,95.96271048,0.142124154,16,32.3,36902,16.4,0.07306025
AR,Benton,0.660281197,76.62680323,1.195903117,9.6,30.1,60294,10.8,0.030972817
AR,Boone,0.618346059,95.21990082,0.173427635,12.4,33.9,40909,16.5,0.08042033
AR,Bradley,0.538213132,58.01181787,27.5199861,13.1,39,37331,28,0
AR,Calhoun,0.384467512,73.37928465,22.16840537,13.7,34.2,40526,16.7,0
AR,Carroll,0.540657439,84.02681629,0.269620345,13,35.8,37587,16.6,0.108514794
