TEAM,RANK,RANKORD,WIN,LOST
ATL,15,15th,24,58
BKN,12,12th,28,54
BOS,2,2nd,55,27
CHA,10,10th,36,46
CHI,13,13th,27,55
CLE,4,4th,50,32
DAL,13,13th,24,58
DEN,9,9th,46,36
DET,9,9th,39,43
GS,2,2nd,58,24
HOU,1,1st,65,17
IND,5,5th,48,34
LAC,10,10th,42,40
LAL,11,11th,35,47
MEM,14,14th,22,60
MIA,6,6th,44,38
MIL,6,6th,44,38
MIN,7,7th,47,35
NO,4,4th,48,34
NY,11,11th,29,53
OKC,4,4th,48,34
ORL,14,14th,25,57
PHI,3,3rd,52,30
PHO,15,15th,21,61
POR,3,3rd,49,33
SA,7,7th,47,35
SAC,12,12th,27,55
TOR,1,1st,59,23
UTA,4,4th,48,34
WAS,8,8th,43,39
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
