GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
400C100US00037,00037,"Abbeville, LA Urban Cluster (2010)",0.4608,0.0214
400C100US00064,00064,"Abbeville, SC Urban Cluster (2010)",0.5020,0.0415
400C100US00091,00091,"Abbotsford, WI Urban Cluster (2010)",0.4354,0.0507
400C100US00118,00118,"Aberdeen, MS Urban Cluster (2010)",0.4603,0.0393
400C100US00145,00145,"Aberdeen, SD Urban Cluster (2010)",0.4565,0.0369
400C100US00172,00172,"Aberdeen, WA Urban Cluster (2010)",0.4571,0.0236
400C100US00199,00199,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area (2010)",0.4125,0.0080
400C100US00226,00226,"Abernathy, TX Urban Cluster (2010)",0.3990,0.0333
400C100US00253,00253,"Abilene, KS Urban Cluster (2010)",0.4300,0.0525
400C100US00280,00280,"Abilene, TX Urbanized Area (2010)",0.4558,0.0120
400C100US00334,00334,"Abingdon, IL Urban Cluster (2010)",0.3890,0.0442
400C100US00388,00388,"Ada, OH Urban Cluster (2010)",0.3932,0.0416
400C100US00415,00415,"Ada, OK Urban Cluster (2010)",0.4655,0.0258
400C100US00450,00450,"Adams, NY Urban Cluster (2010)",0.4305,0.0638
400C100US00469,00469,"Adel, GA Urban Cluster (2010)",0.4971,0.0408
400C100US00496,00496,"Adel, IA Urban Cluster (2010)",0.4104,0.0311
400C100US00577,00577,"Adrian, MI Urban Cluster (2010)",0.4448,0.0271
400C100US00658,00658,"Ahoskie, NC Urban Cluster (2010)",0.4881,0.0269
400C100US00676,00676,"Air Force Academy, CO Urban Cluster (2010)",0.2746,0.0459
400C100US00712,00712,"Ajo, AZ Urban Cluster (2010)",0.5345,0.1506
400C100US00739,00739,"Akron, NY Urban Cluster (2010)",0.4202,0.0491
400C100US00766,00766,"Akron, OH Urbanized Area (2010)",0.4590,0.0061
400C100US00793,00793,"Alachua, FL Urban Cluster (2010)",0.6022,0.1120
400C100US00820,00820,"Alamogordo, NM Urban Cluster (2010)",0.4273,0.0354
400C100US00847,00847,"Alamosa, CO Urban Cluster (2010)",0.5112,0.0566
400C100US00901,00901,"Albany, GA Urbanized Area (2010)",0.4857,0.0111
400C100US00921,00921,"Albany, MN Urban Cluster (2010)",0.4075,0.0349
400C100US00955,00955,"Albany, OR Urbanized Area (2010)",0.4210,0.0229
400C100US00970,00970,"Albany--Schenectady, NY Urbanized Area (2010)",0.4505,0.0044
400C100US00982,00982,"Albemarle, NC Urban Cluster (2010)",0.4788,0.0322
400C100US01009,01009,"Albert Lea, MN Urban Cluster (2010)",0.4145,0.0179
400C100US01036,01036,"Albertville, AL Urban Cluster (2010)",0.4772,0.0161
400C100US01063,01063,"Albia, IA Urban Cluster (2010)",0.3920,0.0343
400C100US01090,01090,"Albion, MI Urban Cluster (2010)",0.4447,0.0208
400C100US01117,01117,"Albion, NY Urban Cluster (2010)",0.5078,0.0863
400C100US01144,01144,"Albion, PA Urban Cluster (2010)",0.3890,0.0239
400C100US01171,01171,"Albuquerque, NM Urbanized Area (2010)",0.4659,0.0043
400C100US01198,01198,"Alderson, WV Urban Cluster (2010)",0.4385,0.0479
400C100US01225,01225,"Aledo, IL Urban Cluster (2010)",0.4118,0.0445
400C100US01232,01232,"Aledo, TX Urban Cluster (2010)",0.3147,0.0260
400C100US01252,01252,"Alexander City, AL Urban Cluster (2010)",0.4678,0.0335
400C100US01279,01279,"Alexandria, LA Urbanized Area (2010)",0.5011,0.0170
400C100US01306,01306,"Alexandria, MN Urban Cluster (2010)",0.4772,0.0425
400C100US01333,01333,"Alfred, NY Urban Cluster (2010)",0.5602,0.0489
400C100US01360,01360,"Algoma, WI Urban Cluster (2010)",0.3786,0.0337
400C100US01387,01387,"Algona, IA Urban Cluster (2010)",0.4007,0.0273
400C100US01414,01414,"Alice, TX Urban Cluster (2010)",0.5179,0.0653
400C100US01441,01441,"Allegan, MI Urban Cluster (2010)",0.4008,0.0344
400C100US01468,01468,"Allendale, SC Urban Cluster (2010)",0.4868,0.0636
400C100US01495,01495,"Allentown, PA--NJ Urbanized Area (2010)",0.4443,0.0053
400C100US01522,01522,"Alliance, NE Urban Cluster (2010)",0.4168,0.0324
400C100US01549,01549,"Alliance, OH Urban Cluster (2010)",0.4542,0.0230
400C100US01603,01603,"Alma, GA Urban Cluster (2010)",0.4656,0.0546
400C100US01630,01630,"Alma--St. Louis, MI Urban Cluster (2010)",0.4707,0.0332
400C100US01657,01657,"Almont, MI Urban Cluster (2010)",0.3973,0.0310
400C100US01684,01684,"Alpena, MI Urban Cluster (2010)",0.4338,0.0223
400C100US01711,01711,"Alpine, TX Urban Cluster (2010)",0.4672,0.0382
400C100US01738,01738,"Altavista, VA Urban Cluster (2010)",0.4405,0.0326
400C100US01765,01765,"Alton, IL--MO Urbanized Area (2010)",0.4377,0.0132
400C100US01792,01792,"Altoona, PA Urbanized Area (2010)",0.4567,0.0156
400C100US01819,01819,"Alturas, CA Urban Cluster (2010)",0.4267,0.0468
400C100US01846,01846,"Altus, OK Urban Cluster (2010)",0.4404,0.0245
400C100US01873,01873,"Alva, OK Urban Cluster (2010)",0.4843,0.0623
400C100US01900,01900,"Alvarado, TX Urban Cluster (2010)",0.3700,0.0433
400C100US01927,01927,"Amarillo, TX Urbanized Area (2010)",0.4619,0.0109
400C100US01981,01981,"American Falls, ID Urban Cluster (2010)",0.3463,0.0395
400C100US02008,02008,"Americus, GA Urban Cluster (2010)",0.4860,0.0319
400C100US02035,02035,"Amery, WI Urban Cluster (2010)",0.3981,0.0502
400C100US02062,02062,"Ames, IA Urbanized Area (2010)",0.4952,0.0116
400C100US02116,02116,"Amite City, LA Urban Cluster (2010)",0.4571,0.0442
400C100US02143,02143,"Amory, MS Urban Cluster (2010)",0.4620,0.0482
400C100US02170,02170,"Amsterdam, NY Urban Cluster (2010)",0.4655,0.0211
400C100US02197,02197,"Anaconda-Deer Lodge County, MT Urban Cluster (2010)",0.4629,0.0425
400C100US02224,02224,"Anacortes, WA Urban Cluster (2010)",0.4485,0.0094
400C100US02251,02251,"Anadarko, OK Urban Cluster (2010)",0.4896,0.0476
400C100US02278,02278,"Anamosa, IA Urban Cluster (2010)",0.3879,0.0368
400C100US02305,02305,"Anchorage, AK Urbanized Area (2010)",0.4259,0.0082
400C100US02332,02332,"Anchorage Northeast, AK Urban Cluster (2010)",0.3597,0.0319
400C100US02359,02359,"Andalusia, AL Urban Cluster (2010)",0.4160,0.0313
400C100US02386,02386,"Anderson, IN Urbanized Area (2010)",0.4366,0.0122
400C100US02413,02413,"Anderson, SC Urbanized Area (2010)",0.4582,0.0140
400C100US02440,02440,"Andrews, SC Urban Cluster (2010)",0.5779,0.1673
400C100US02467,02467,"Andrews, TX Urban Cluster (2010)",0.4450,0.0597
400C100US02494,02494,"Angels, CA Urban Cluster (2010)",0.4501,0.0420
400C100US02548,02548,"Angola, IN Urban Cluster (2010)",0.4326,0.0273
400C100US02575,02575,"Anna, IL Urban Cluster (2010)",0.4534,0.0461
400C100US02581,02581,"Anna, TX Urban Cluster (2010)",0.3393,0.0520
400C100US02590,02590,"Annandale, MN Urban Cluster (2010)",0.4312,0.0364
400C100US02602,02602,"Ann Arbor, MI Urbanized Area (2010)",0.4843,0.0057
400C100US02629,02629,"Anniston--Oxford, AL Urbanized Area (2010)",0.4700,0.0203
400C100US02656,02656,"Antigo, WI Urban Cluster (2010)",0.4043,0.0287
400C100US02683,02683,"Antioch, CA Urbanized Area (2010)",0.4209,0.0068
400C100US02710,02710,"Apalachicola, FL Urban Cluster (2010)",0.4469,0.0381
400C100US02764,02764,"Appleton, WI Urbanized Area (2010)",0.4247,0.0125
400C100US02773,02773,"Apple Valley, OH Urban Cluster (2010)",0.3478,0.0405
400C100US02791,02791,"Arab, AL Urban Cluster (2010)",0.4561,0.0216
400C100US02825,02825,"Arbuckle, CA Urban Cluster (2010)",0.3232,0.0495
400C100US02845,02845,"Arcade, NY Urban Cluster (2010)",0.4039,0.0260
400C100US02899,02899,"Arcadia, LA Urban Cluster (2010)",0.5621,0.0499
400C100US02901,02901,"Arcadia, WI Urban Cluster (2010)",0.3885,0.0394
400C100US02912,02912,"Arcadia--Southeast Arcadia, FL Urban Cluster (2010)",0.4159,0.0220
400C100US02926,02926,"Arcata--McKinleyville, CA Urban Cluster (2010)",0.4880,0.0203
400C100US02953,02953,"Archbold, OH Urban Cluster (2010)",0.4112,0.0315
400C100US02965,02965,"Archer Lodge--Clayton, NC Urban Cluster (2010)",0.3296,0.0328
400C100US02980,02980,"Arcola, IL Urban Cluster (2010)",0.3660,0.0331
400C100US03007,03007,"Ardmore, OK Urban Cluster (2010)",0.4847,0.0376
400C100US03088,03088,"Arizona City, AZ Urban Cluster (2010)",0.4456,0.0732
400C100US03115,03115,"Arkadelphia, AR Urban Cluster (2010)",0.4884,0.0328
400C100US03142,03142,"Arkansas City, KS Urban Cluster (2010)",0.4339,0.0194
400C100US03158,03158,"Arlington, TN Urban Cluster (2010)",0.3060,0.0285
400C100US03196,03196,"Arroyo Grande--Grover Beach, CA Urbanized Area (2010)",0.4328,0.0164
400C100US03223,03223,"Artesia, NM Urban Cluster (2010)",0.4541,0.0334
400C100US03250,03250,"Arvin, CA Urban Cluster (2010)",0.3895,0.0287
400C100US03277,03277,"Ashburn, GA Urban Cluster (2010)",0.4454,0.0566
400C100US03304,03304,"Ashdown, AR Urban Cluster (2010)",0.5172,0.1062
400C100US03331,03331,"Asheboro, NC Urban Cluster (2010)",0.4463,0.0190
400C100US03358,03358,"Asheville, NC Urbanized Area (2010)",0.4554,0.0082
400C100US03365,03365,"Ashland, MO Urban Cluster (2010)",0.3824,0.0508
400C100US03375,03375,"Ashland, NE Urban Cluster (2010)",0.3854,0.0349
400C100US03385,03385,"Ashland, OH Urban Cluster (2010)",0.4582,0.0257
400C100US03395,03395,"Ashland, PA Urban Cluster (2010)",0.4163,0.0260
400C100US03412,03412,"Ashland, WI Urban Cluster (2010)",0.4234,0.0221
400C100US03439,03439,"Ashland City, TN Urban Cluster (2010)",0.4055,0.0583
400C100US03466,03466,"Ashtabula, OH Urban Cluster (2010)",0.4641,0.0138
400C100US03493,03493,"Ashville, OH Urban Cluster (2010)",0.3277,0.0340
400C100US03520,03520,"Aspen, CO Urban Cluster (2010)",0.6173,0.0761
400C100US03547,03547,"Astoria, OR Urban Cluster (2010)",0.4197,0.0171
400C100US03601,03601,"Atchison, KS--MO Urban Cluster (2010)",0.5475,0.0757
400C100US03655,03655,"Athens, AL Urban Cluster (2010)",0.5081,0.0324
400C100US03682,03682,"Athens, OH Urban Cluster (2010)",0.5656,0.0275
400C100US03709,03709,"Athens, TN Urban Cluster (2010)",0.4862,0.0247
400C100US03736,03736,"Athens, TX Urban Cluster (2010)",0.5313,0.0529
400C100US03763,03763,"Athens-Clarke County, GA Urbanized Area (2010)",0.5297,0.0108
400C100US03790,03790,"Athol, MA Urban Cluster (2010)",0.4199,0.0188
400C100US03817,03817,"Atlanta, GA Urbanized Area (2010)",0.4757,0.0025
400C100US03844,03844,"Atlanta, TX Urban Cluster (2010)",0.4822,0.0575
400C100US03871,03871,"Atlantic, IA Urban Cluster (2010)",0.4288,0.0552
400C100US03898,03898,"Atlantic City, NJ Urbanized Area (2010)",0.4734,0.0062
400C100US03925,03925,"Atmore, AL Urban Cluster (2010)",0.4992,0.0640
400C100US03957,03957,"Atoka, TN Urban Cluster (2010)",0.3801,0.0324
400C100US03979,03979,"Attica, IN Urban Cluster (2010)",0.4328,0.0358
400C100US04006,04006,"Attica, NY Urban Cluster (2010)",0.4096,0.0549
400C100US04021,04021,"Aubrey, TX Urban Cluster (2010)",0.3655,0.0356
400C100US04033,04033,"Auburn, AL Urbanized Area (2010)",0.5375,0.0147
400C100US04054,04054,"Auburn, IL Urban Cluster (2010)",0.3453,0.0419
400C100US04060,04060,"Auburn, IN Urban Cluster (2010)",0.4396,0.0510
400C100US04087,04087,"Auburn, NE Urban Cluster (2010)",0.4166,0.0418
400C100US04114,04114,"Auburn, NY Urban Cluster (2010)",0.4500,0.0151
400C100US04130,04130,"Auburn--North Auburn, CA Urban Cluster (2010)",0.4846,0.0234
400C100US04168,04168,"Augusta, KS Urban Cluster (2010)",0.4150,0.0237
400C100US04195,04195,"Augusta, ME Urban Cluster (2010)",0.4406,0.0199
400C100US04222,04222,"Augusta-Richmond County, GA--SC Urbanized Area (2010)",0.4715,0.0073
400C100US04249,04249,"Aumsville, OR Urban Cluster (2010)",0.3845,0.0626
400C100US04276,04276,"Aurora, MO Urban Cluster (2010)",0.4016,0.0296
400C100US04303,04303,"Aurora, NE Urban Cluster (2010)",0.3524,0.0268
400C100US04330,04330,"Au Sable, MI Urban Cluster (2010)",0.3980,0.0231
400C100US04357,04357,"Austin, MN Urban Cluster (2010)",0.4661,0.0257
400C100US04384,04384,"Austin, TX Urbanized Area (2010)",0.4615,0.0035
400C100US04411,04411,"Ava, MO Urban Cluster (2010)",0.4111,0.0540
400C100US04438,04438,"Avalon, CA Urban Cluster (2010)",0.4788,0.0832
400C100US04465,04465,"Avenal, CA Urban Cluster (2010)",0.3991,0.0372
400C100US04519,04519,"Avon, NY Urban Cluster (2010)",0.4037,0.0350
400C100US04549,04549,"Avondale--Goodyear, AZ Urbanized Area (2010)",0.3938,0.0088
400C100US04573,04573,"Avra Valley, AZ Urban Cluster (2010)",0.4163,0.0614
400C100US04587,04587,"Aztec, NM Urban Cluster (2010)",0.3889,0.0274
400C100US04600,04600,"Bad Axe, MI Urban Cluster (2010)",0.4211,0.0323
400C100US04627,04627,"Bainbridge, GA Urban Cluster (2010)",0.5317,0.0480
400C100US04654,04654,"Baker City, OR Urban Cluster (2010)",0.4278,0.0237
400C100US04681,04681,"Bakersfield, CA Urbanized Area (2010)",0.4645,0.0074
400C100US04708,04708,"Bald Knob, AR Urban Cluster (2010)",0.3964,0.0294
400C100US04762,04762,"Baldwin, WI Urban Cluster (2010)",0.3501,0.0233
400C100US04789,04789,"Baldwin City, KS Urban Cluster (2010)",0.4508,0.1068
400C100US04816,04816,"Ballinger, TX Urban Cluster (2010)",0.4534,0.0439
400C100US04843,04843,"Baltimore, MD Urbanized Area (2010)",0.4593,0.0032
400C100US04870,04870,"Baltimore, OH Urban Cluster (2010)",0.4200,0.0502
400C100US04897,04897,"Bamberg, SC Urban Cluster (2010)",0.4478,0.0434
400C100US04924,04924,"Bandon, OR Urban Cluster (2010)",0.5107,0.0693
400C100US04951,04951,"Bangor, ME Urbanized Area (2010)",0.4589,0.0123
400C100US05005,05005,"Baraboo, WI Urban Cluster (2010)",0.4386,0.0376
400C100US05032,05032,"Barbourville, KY Urban Cluster (2010)",0.5349,0.1050
400C100US05059,05059,"Bardstown, KY Urban Cluster (2010)",0.4785,0.0721
400C100US05086,05086,"Bar Harbor, ME Urban Cluster (2010)",0.4616,0.0783
400C100US05113,05113,"Barnesville, GA Urban Cluster (2010)",0.5317,0.0561
400C100US05140,05140,"Barnesville, OH Urban Cluster (2010)",0.4728,0.0697
400C100US05167,05167,"Barnstable Town, MA Urbanized Area (2010)",0.4445,0.0076
400C100US05194,05194,"Barnwell, SC Urban Cluster (2010)",0.4607,0.0541
400C100US05221,05221,"Barre--Montpelier, VT Urban Cluster (2010)",0.4312,0.0160
400C100US05248,05248,"Barron, WI Urban Cluster (2010)",0.3303,0.0325
400C100US05275,05275,"Barrow, AK Urban Cluster (2010)",0.4185,0.0465
400C100US05302,05302,"Barstow, CA Urban Cluster (2010)",0.4701,0.0299
400C100US05329,05329,"Bartlesville, OK Urban Cluster (2010)",0.4679,0.0204
400C100US05356,05356,"Bartlett, TX Urban Cluster (2010)",0.3849,0.0384
400C100US05410,05410,"Basalt--El Jebel, CO Urban Cluster (2010)",0.3972,0.0385
400C100US05423,05423,"Basehor, KS Urban Cluster (2010)",0.3256,0.0353
400C100US05437,05437,"Bastrop, LA Urban Cluster (2010)",0.4830,0.0281
400C100US05464,05464,"Bastrop, TX Urban Cluster (2010)",0.3910,0.0306
400C100US05491,05491,"Batavia, NY Urban Cluster (2010)",0.4463,0.0254
400C100US05518,05518,"Batesburg-Leesville, SC Urban Cluster (2010)",0.4638,0.0392
400C100US05545,05545,"Batesville, AR Urban Cluster (2010)",0.4514,0.0321
400C100US05572,05572,"Batesville, IN Urban Cluster (2010)",0.4210,0.0297
400C100US05599,05599,"Batesville, MS Urban Cluster (2010)",0.4192,0.0331
400C100US05653,05653,"Bath, NY Urban Cluster (2010)",0.4771,0.0723
400C100US05680,05680,"Baton Rouge, LA Urbanized Area (2010)",0.4735,0.0062
400C100US05707,05707,"Battle Creek, MI Urbanized Area (2010)",0.4614,0.0133
400C100US05734,05734,"Battlement Mesa, CO Urban Cluster (2010)",0.3926,0.0776
400C100US05761,05761,"Battle Mountain, NV Urban Cluster (2010)",0.3686,0.0512
400C100US05788,05788,"Baxley, GA Urban Cluster (2010)",0.4351,0.0388
400C100US05815,05815,"Baxter Springs, KS Urban Cluster (2010)",0.4160,0.0307
400C100US05842,05842,"Bayard, NM Urban Cluster (2010)",0.4104,0.0252
400C100US05869,05869,"Bay City, MI Urbanized Area (2010)",0.4572,0.0185
400C100US05896,05896,"Bay City, TX Urban Cluster (2010)",0.4511,0.0289
400C100US05904,05904,"Bayfield, CO Urban Cluster (2010)",0.3378,0.0435
400C100US05923,05923,"Bay Minette, AL Urban Cluster (2010)",0.4457,0.0304
400C100US05958,05958,"Bealeton, VA Urban Cluster (2010)",0.3876,0.0438
400C100US05977,05977,"Beardstown, IL Urban Cluster (2010)",0.4003,0.0218
400C100US06004,06004,"Beatrice, NE Urban Cluster (2010)",0.3953,0.0231
400C100US06031,06031,"Beaufort--Port Royal, SC Urban Cluster (2010)",0.4229,0.0206
400C100US06058,06058,"Beaumont, TX Urbanized Area (2010)",0.4912,0.0138
400C100US06076,06076,"Beaver, UT Urban Cluster (2010)",0.4013,0.0407
400C100US06085,06085,"Beaver Dam, KY Urban Cluster (2010)",0.5074,0.0887
400C100US06112,06112,"Beaver Dam, WI Urban Cluster (2010)",0.3892,0.0169
400C100US06128,06128,"Becker, MN Urban Cluster (2010)",0.3327,0.0434
400C100US06139,06139,"Beckley, WV Urbanized Area (2010)",0.4644,0.0193
400C100US06166,06166,"Bedford, IN Urban Cluster (2010)",0.4610,0.0459
400C100US06186,06186,"Bedford, NY Urban Cluster (2010)",0.4985,0.0670
400C100US06193,06193,"Bedford, PA Urban Cluster (2010)",0.4273,0.0600
400C100US06220,06220,"Bedford, VA Urban Cluster (2010)",0.4559,0.0434
400C100US06247,06247,"Beebe, AR Urban Cluster (2010)",0.4549,0.0624
400C100US06261,06261,"Beecher, IL Urban Cluster (2010)",0.3531,0.0450
400C100US06274,06274,"Beeville, TX Urban Cluster (2010)",0.4629,0.0476
400C100US06301,06301,"Belding, MI Urban Cluster (2010)",0.4065,0.0297
400C100US06335,06335,"Belfair, WA Urban Cluster (2010)",0.4841,0.0803
400C100US06355,06355,"Belfast, ME Urban Cluster (2010)",0.4631,0.1219
400C100US06382,06382,"Belgrade, MT Urban Cluster (2010)",0.3561,0.0281
400C100US06436,06436,"Bellefontaine, OH Urban Cluster (2010)",0.4462,0.0408
400C100US06463,06463,"Bellefonte, PA Urban Cluster (2010)",0.3848,0.0214
400C100US06490,06490,"Belle Fourche, SD Urban Cluster (2010)",0.4912,0.0947
400C100US06517,06517,"Belle Glade, FL Urban Cluster (2010)",0.4949,0.0240
400C100US06571,06571,"Belle Plaine, MN Urban Cluster (2010)",0.2899,0.0293
400C100US06598,06598,"Bellevue, IA Urban Cluster (2010)",0.3990,0.0360
400C100US06625,06625,"Bellevue, OH Urban Cluster (2010)",0.3624,0.0239
400C100US06652,06652,"Bellingham, WA Urbanized Area (2010)",0.4652,0.0135
400C100US06679,06679,"Bellows Falls, VT--NH Urban Cluster (2010)",0.4312,0.0406
400C100US06692,06692,"Bells, TN Urban Cluster (2010)",0.4573,0.0648
400C100US06706,06706,"Bellville, TX Urban Cluster (2010)",0.4187,0.0387
400C100US06733,06733,"Beloit, KS Urban Cluster (2010)",0.4106,0.0500
400C100US06760,06760,"Beloit, WI--IL Urbanized Area (2010)",0.4247,0.0134
400C100US06770,06770,"Belterra, TX Urban Cluster (2010)",0.2931,0.0363
400C100US06779,06779,"Belton, SC Urban Cluster (2010)",0.4673,0.0458
400C100US06787,06787,"Belvidere, NJ--PA Urban Cluster (2010)",0.4041,0.0318
400C100US06814,06814,"Belzoni, MS Urban Cluster (2010)",0.5570,0.0651
400C100US06841,06841,"Bemidji, MN Urban Cluster (2010)",0.4599,0.0268
400C100US06868,06868,"Bend, OR Urbanized Area (2010)",0.4541,0.0182
400C100US06895,06895,"Bennettsville, SC Urban Cluster (2010)",0.4721,0.0658
400C100US06922,06922,"Bennington, VT Urban Cluster (2010)",0.4577,0.0248
400C100US06949,06949,"Benson, AZ Urban Cluster (2010)",0.4052,0.0404
400C100US06976,06976,"Benson, MN Urban Cluster (2010)",0.4544,0.0327
400C100US07003,07003,"Benson, NC Urban Cluster (2010)",0.4889,0.0566
400C100US07030,07030,"Benton, IL Urban Cluster (2010)",0.4509,0.0573
400C100US07057,07057,"Benton, KY Urban Cluster (2010)",0.4262,0.0410
400C100US07084,07084,"Benton, LA Urban Cluster (2010)",0.4480,0.0404
400C100US07111,07111,"Benton City, WA Urban Cluster (2010)",0.3702,0.0357
400C100US07138,07138,"Benton Harbor--St. Joseph--Fair Plain, MI Urbanized Area (2010)",0.5006,0.0129
400C100US07165,07165,"Berea, KY Urban Cluster (2010)",0.4156,0.0304
400C100US07192,07192,"Berlin, NH Urban Cluster (2010)",0.4284,0.0234
400C100US07219,07219,"Berlin, WI Urban Cluster (2010)",0.3967,0.0448
400C100US07246,07246,"Berne, IN Urban Cluster (2010)",0.4720,0.0592
400C100US07273,07273,"Berrien Springs, MI Urban Cluster (2010)",0.4998,0.0539
400C100US07300,07300,"Berryville, AR Urban Cluster (2010)",0.3840,0.0574
400C100US07327,07327,"Berryville, VA Urban Cluster (2010)",0.4355,0.0441
400C100US07354,07354,"Bethany, MO Urban Cluster (2010)",0.3831,0.0346
400C100US07381,07381,"Bethel, AK Urban Cluster (2010)",0.3596,0.0315
400C100US07408,07408,"Bethel, OH Urban Cluster (2010)",0.3615,0.0287
400C100US07462,07462,"Beulah, ND Urban Cluster (2010)",0.4384,0.0709
400C100US07489,07489,"Bicknell, IN Urban Cluster (2010)",0.4024,0.0438
400C100US07508,07508,"Big Bear City, CA Urban Cluster (2010)",0.4542,0.0254
400C100US07543,07543,"Big Lake, TX Urban Cluster (2010)",0.3471,0.0322
400C100US07597,07597,"Big Pine Key, FL Urban Cluster (2010)",0.4727,0.0550
400C100US07624,07624,"Big Rapids, MI Urban Cluster (2010)",0.5216,0.0338
400C100US07651,07651,"Big Spring, TX Urban Cluster (2010)",0.4639,0.0308
400C100US07678,07678,"Big Stone Gap, VA Urban Cluster (2010)",0.4769,0.0593
400C100US07705,07705,"Billings, MT Urbanized Area (2010)",0.4643,0.0144
400C100US07732,07732,"Binghamton, NY--PA Urbanized Area (2010)",0.4725,0.0105
400C100US07759,07759,"Birch Bay, WA Urban Cluster (2010)",0.4218,0.0257
400C100US07786,07786,"Birmingham, AL Urbanized Area (2010)",0.4916,0.0049
400C100US07813,07813,"Bisbee, AZ Urban Cluster (2010)",0.4612,0.0313
400C100US07824,07824,"Biscoe, NC Urban Cluster (2010)",0.5042,0.1471
400C100US07840,07840,"Bishop, CA Urban Cluster (2010)",0.4182,0.0249
400C100US07867,07867,"Bishop, TX Urban Cluster (2010)",0.4313,0.0392
400C100US07894,07894,"Bishopville, SC Urban Cluster (2010)",0.5038,0.0497
400C100US07921,07921,"Bismarck, ND Urbanized Area (2010)",0.4508,0.0166
400C100US07948,07948,"Blackfoot, ID Urban Cluster (2010)",0.4243,0.0300
400C100US07975,07975,"Black River Falls, WI Urban Cluster (2010)",0.3864,0.0309
400C100US08002,08002,"Blacksburg, VA Urbanized Area (2010)",0.5139,0.0167
400C100US08029,08029,"Blackshear, GA Urban Cluster (2010)",0.5695,0.1086
400C100US08056,08056,"Blackstone, VA Urban Cluster (2010)",0.4113,0.0562
400C100US08083,08083,"Blackwell, OK Urban Cluster (2010)",0.4261,0.0300
400C100US08137,08137,"Blair, NE Urban Cluster (2010)",0.4501,0.0531
400C100US08164,08164,"Blairsville, PA Urban Cluster (2010)",0.4445,0.0473
400C100US08191,08191,"Blakely, GA Urban Cluster (2010)",0.4854,0.0619
400C100US08209,08209,"Blanchard, OK Urban Cluster (2010)",0.3912,0.0340
400C100US08218,08218,"Blanchester, OH Urban Cluster (2010)",0.4531,0.0835
400C100US08245,08245,"Blanding, UT Urban Cluster (2010)",0.4110,0.0516
400C100US08272,08272,"Blissfield, MI Urban Cluster (2010)",0.3941,0.0325
400C100US08299,08299,"Bloomer, WI Urban Cluster (2010)",0.3635,0.0399
400C100US08326,08326,"Bloomfield, IN Urban Cluster (2010)",0.4432,0.0301
400C100US08353,08353,"Bloomfield, NM Urban Cluster (2010)",0.4201,0.0330
400C100US08380,08380,"Bloomington, IN Urbanized Area (2010)",0.5295,0.0164
400C100US08407,08407,"Bloomington--Normal, IL Urbanized Area (2010)",0.4742,0.0126
