title,year,metascore,domestic_gross
Doctor Strange,(2016),72,"232,641,920"
Aladdin,(2019),53,"232,566,894"
Justice League,(2017),45,"229,024,295"
Star Trek Into Darkness,(2013),72,"228,778,661"
The Martian,(2015),80,"228,433,663"
Signs,(2002),59,"227,966,634"
Hancock,(2008),49,"227,946,274"
The Bourne Ultimatum,(2007),85,"227,471,070"
Logan,(2017),77,"226,277,068"
Rush Hour 2,(2001),48,"226,164,286"
The Fate of the Furious,(2017),56,"226,008,385"
WALL·E,(2008),95,"223,808,164"
Big Hero 6,(2014),74,"222,527,828"
Mission: Impossible - Fallout,(2018),86,"220,159,104"
National Treasure: Book of Secrets,(2007),48,"219,964,115"
Alvin and the Chipmunks: The Squeakquel,(2009),41,"219,614,612"
Ted,(2012),62,"218,815,487"
King Kong,(2005),81,"218,080,025"
How to Train Your Dragon,(2010),74,"217,581,231"
The Da Vinci Code,(2006),46,"217,536,138"
Alvin and the Chipmunks,(2007),39,"217,326,974"
Ant-Man and the Wasp,(2018),70,"216,648,740"
Bohemian Rhapsody,(2018),49,"216,428,042"
Madagascar 3: Europe's Most Wanted,(2012),60,"216,391,482"
Kung Fu Panda,(2008),73,"215,434,591"
Mission: Impossible II,(2000),59,"215,409,889"
A Star Is Born,(2018),88,"215,288,866"
X2: X-Men United,(2003),68,"214,949,694"
The Lorax,(2012),46,"214,030,500"
Solo: A Star Wars Story,(2018),62,"213,767,512"
Venom,(2018),35,"213,515,506"
Austin Powers in Goldmember,(2002),62,"213,307,889"
300,(2006),52,"210,614,939"
Fast Five,(2011),66,"209,837,675"
Coco,(I) (2017),81,"209,726,015"
Mission: Impossible - Ghost Protocol,(2011),73,"209,397,903"
Wedding Crashers,(2005),64,"209,218,368"
Sherlock Holmes,(2009),57,"209,028,679"
Dawn of the Planet of the Apes,(2014),79,"208,545,589"
Batman Begins,(2005),70,"206,852,432"
Charlie and the Chocolate Factory,(2005),72,"206,459,076"
Ratatouille,(2007),96,"206,445,654"
Thor: The Dark World,(2013),54,"206,362,140"
The Amazing Spider-Man 2,(2014),53,"202,853,933"
World War Z,(2013),63,"202,359,711"
The Mummy Returns,(2001),48,"202,019,785"
Cinderella,(I) (2015),67,"201,151,353"
Ralph Breaks the Internet,(2018),71,"201,091,711"
Tangled,(2010),71,"200,821,936"
Godzilla,(2014),62,"200,676,069"
Superman Returns,(2006),72,"200,081,192"
Spectre,(I) (2015),60,"200,074,175"
Pearl Harbor,(2001),44,"198,542,554"
Monsters vs. Aliens,(2009),56,"198,351,526"
Happy Feet,(2006),77,"198,000,317"
Ice Age: Dawn of the Dinosaurs,(2009),50,"196,573,705"
Ice Age: The Meltdown,(2006),58,"195,330,621"
Mission: Impossible - Rogue Nation,(2015),75,"195,042,377"
Madagascar,(2005),57,"193,595,521"
22 Jump Street,(2014),71,"191,719,337"
Twilight,(I) (2008),56,"191,465,414"
Cars 2,(2011),57,"191,452,396"
Teenage Mutant Ninja Turtles,(2014),31,"191,204,754"
Men in Black II,(2002),49,"190,418,803"
Spider-Man: Into the Spider-Verse,(2018),87,"190,241,310"
Wreck-It Ralph,(2012),72,"189,422,889"
Dunkirk,(2017),94,"188,373,161"
A Quiet Place,(2018),82,"188,024,361"
Interstellar,(2014),74,"188,020,017"
Gladiator,(2000),67,"187,705,427"
The Croods,(2013),55,"187,168,425"
Sherlock Holmes: A Game of Shadows,(2011),48,"186,848,418"
The Day After Tomorrow,(2004),47,"186,740,799"
Mr. & Mrs. Smith,(2005),55,"186,336,279"
Pitch Perfect 2,(2015),63,"184,296,230"
The Revenant,(2015),76,"183,637,894"
Ocean's Eleven,(2001),74,"183,417,150"
The Polar Express,(2004),61,"183,373,735"
The Simpsons Movie,(2007),80,"183,135,014"
What Women Want,(2000),47,"182,811,707"
The Perfect Storm,(2000),59,"182,618,434"
Lincoln,(2012),86,"182,207,973"
Jurassic Park III,(2001),42,"181,171,875"
Thor,(2011),57,"181,030,624"
Ant-Man,(2015),64,"180,202,163"
Planet of the Apes,(2001),50,"180,011,740"
Madagascar: Escape 2 Africa,(2008),61,"180,010,950"
X-Men Origins: Wolverine,(2009),40,"179,883,157"
Hitch,(I) (2005),58,"179,495,555"
Men in Black 3,(2012),58,"179,020,854"
Home,(II) (2015),55,"177,397,510"
Night at the Museum: Battle of the Smithsonian,(2009),42,"177,243,721"
How to Train Your Dragon 2,(2014),76,"177,002,924"
Rise of the Planet of the Apes,(2011),68,"176,760,185"
Captain America: The First Avenger,(2011),66,"176,654,505"
The Karate Kid,(2010),61,"176,591,618"
Ice Age,(2002),60,"176,387,405"
The Bourne Supremacy,(2004),73,"176,241,941"
Get Out,(I) (2017),84,"176,040,665"
The Lego Batman Movie,(2017),75,"175,750,384"
Us,(2019),81,"175,005,930"
The Boss Baby,(2017),50,"175,003,033"
Crazy Rich Asians,(2018),74,"174,532,921"
The Greatest Showman,(2017),48,"174,340,174"
Elf,(2003),64,"173,398,518"
National Treasure,(2004),39,"173,008,894"
Pirates of the Caribbean: Dead Men Tell No Tales,(2017),39,"172,558,876"
TRON: Legacy,(2010),49,"172,062,763"
Mary Poppins Returns,(2018),66,"171,958,438"
True Grit,(2010),80,"171,243,005"
A Beautiful Mind,(2001),72,"170,742,341"
Chicago,(2002),82,"170,687,518"
The Help,(2011),62,"169,708,112"
