title,year,metascore,domestic_gross
Prince of Persia: The Sands of Time,(2010),50,"90,759,676"
Scary Movie 4,(2006),40,"90,710,620"
The Game Plan,(2007),44,"90,648,202"
"Me, Myself & Irene",(2000),49,"90,570,999"
High School Musical 3: Senior Year,(2008),57,"90,559,416"
Madea Goes to Jail,(2009),50,"90,485,233"
Space Cowboys,(2000),73,"90,464,773"
Get Hard,(2015),34,"90,411,453"
RED,(2010),60,"90,380,162"
Planes,(2013),39,"90,288,712"
"Legally Blonde 2: Red, White & Blonde",(2003),47,"90,186,328"
Mystic River,(2003),84,"90,135,191"
Terminator Genisys,(2015),38,"89,760,956"
Flightplan,(2005),53,"89,707,299"
The Emperor's New Groove,(2000),70,"89,302,687"
The Lone Ranger,(2013),37,"89,302,115"
Taken 3,(2014),26,"89,256,424"
Don't Breathe,(2016),71,"89,217,875"
Scream 3,(2000),56,"89,138,076"
Oblivion,(I) (2013),54,"89,021,735"
The Ugly Truth,(2009),28,"88,915,214"
Percy Jackson & the Olympians: The Lightning Thief,(2010),47,"88,761,720"
Failure to Launch,(2006),47,"88,715,192"
The Muppets,(2011),75,"88,631,237"
Inside Man,(2006),76,"88,513,495"
Starsky & Hutch,(2004),55,"88,237,754"
Along Came Polly,(2004),44,"88,097,164"
Pineapple Express,(2008),64,"87,341,380"
Miss Peregrine's Home for Peculiar Children,(2016),57,"87,242,834"
Sisters,(III) (2015),58,"87,044,645"
Saw II,(2005),40,"87,039,965"
The Campaign,(2012),50,"86,907,746"
The Accountant,(2016),51,"86,260,045"
Dumb and Dumber To,(2014),36,"86,208,010"
The Emoji Movie,(2017),12,"86,089,513"
Mean Girls,(2004),66,"86,058,055"
Annie,(2014),33,"85,911,262"
Alvin and the Chipmunks: The Road Chip,(2015),33,"85,886,987"
Spy Kids 2: Island of Lost Dreams,(2002),66,"85,846,429"
Fury,(2014),64,"85,817,906"
Alita: Battle Angel,(2019),53,"85,710,210"
Real Steel,(2011),56,"85,468,508"
The SpongeBob SquarePants Movie,(2004),66,"85,417,988"
Brother Bear,(2003),48,"85,336,277"
Anchorman: The Legend of Ron Burgundy,(2004),63,"85,288,303"
Open Season,(2006),49,"85,105,259"
Green Book,(2018),69,"85,080,171"
Power Rangers,(2017),44,"85,067,486"
The Expendables 2,(2012),51,"85,017,401"
Paranormal Activity 2,(2010),53,"84,752,907"
Tammy,(2014),39,"84,525,432"
The Santa Clause 3: The Escape Clause,(2006),32,"84,500,122"
Ferdinand,(2017),58,"84,410,380"
"Crazy, Stupid, Love.",(2011),68,"84,351,197"
Annabelle,(I) (2014),37,"84,273,813"
Scooby-Doo 2: Monsters Unleashed,(2004),34,"84,216,833"
Atlantis: The Lost Empire,(2001),52,"84,052,762"
The Other Woman,(2014),39,"83,911,193"
Up in the Air,(I) (2009),83,"83,823,381"
Wrath of the Titans,(2012),37,"83,670,083"
Insidious: Chapter 2,(2013),40,"83,586,447"
Battle Los Angeles,(2011),37,"83,552,429"
Immortals,(2011),46,"83,504,017"
I Can Only Imagine,(2018),30,"83,482,352"
Penguins of Madagascar,(2014),53,"83,348,920"
Saving Mr. Banks,(2013),65,"83,301,580"
Smallfoot,(2018),60,"83,240,103"
Valkyrie,(2008),56,"83,077,833"
Brokeback Mountain,(2005),87,"83,043,761"
Turbo,(2013),58,"83,028,128"
Charlotte's Web,(2006),68,"82,985,708"
Monster-in-Law,(2005),31,"82,931,301"
Are We There Yet?,(2005),27,"82,674,398"
Freddy vs. Jason,(2003),37,"82,622,655"
The Descendants,(2011),84,"82,584,160"
Cheaper by the Dozen 2,(2005),34,"82,571,173"
Let's Be Cops,(2014),30,"82,390,774"
Blade II,(2002),52,"82,348,319"
Bridge to Terabithia,(2007),74,"82,272,442"
The Pink Panther,(2006),38,"82,226,474"
Beowulf,(2007),59,"82,161,969"
Teenage Mutant Ninja Turtles: Out of the Shadows,(2016),40,"82,051,601"
The Post,(2017),83,"81,903,458"
Maze Runner: The Scorch Trials,(2015),43,"81,697,192"
Eight Below,(2006),64,"81,612,565"
Unstoppable,(2010),69,"81,562,942"
Ted 2,(2015),48,"81,476,385"
School of Rock,(2003),82,"81,261,177"
Snow Dogs,(2002),29,"81,172,560"
21,(2008),48,"81,159,365"
The Notebook,(2004),53,"81,001,787"
Jimmy Neutron: Boy Genius,(2001),65,"80,936,232"
Eat Pray Love,(2010),50,"80,574,010"
The Texas Chainsaw Massacre,(2003),38,"80,571,655"
Zookeeper,(2011),30,"80,360,843"
Alien vs. Predator,(2004),29,"80,282,231"
What Happens in Vegas,(2008),36,"80,277,646"
The Dukes of Hazzard,(2005),33,"80,270,227"
Saw III,(2006),48,"80,238,724"
Disturbia,(2007),62,"80,209,692"
Nacho Libre,(2006),52,"80,197,993"
Jumper,(2008),35,"80,172,128"
The Mummy,(2017),34,"80,101,125"
Goosebumps,(2015),60,"80,080,379"
Jack Reacher,(2012),50,"80,070,736"
Cloverfield,(2008),64,"80,048,433"
Dear John,(I) (2010),43,"80,014,842"
Knowing,(2009),41,"79,957,634"
War Horse,(2011),72,"79,884,879"
Dark Shadows,(2012),55,"79,727,149"
Hannah Montana: The Movie,(2009),47,"79,566,871"
The Day the Earth Stood Still,(2008),40,"79,366,978"
Limitless,(I) (2011),59,"79,249,455"
The Purge: Election Year,(2016),55,"79,003,080"
Pixels,(2015),27,"78,747,585"
A.I. Artificial Intelligence,(2001),65,"78,616,689"
Godzilla: King of the Monsters,(2019),48,"78,507,504"
We Were Soldiers,(2002),65,"78,122,718"
Tower Heist,(2011),59,"78,046,570"
The Monuments Men,(2014),52,"78,031,620"
Man on Fire,(2004),47,"77,911,774"
The Terminal,(2004),55,"77,872,883"
Gangs of New York,(2002),72,"77,812,000"
The Adventures of Tintin,(2011),68,"77,591,831"
Night School,(2018),43,"77,339,130"
Parental Guidance,(2012),36,"77,267,296"
Where the Wild Things Are,(2009),71,"77,233,467"
The A-Team,(2010),47,"77,222,099"
U-571,(2000),62,"77,086,030"
Alice Through the Looking Glass,(2016),34,"77,042,381"
27 Dresses,(2008),47,"76,808,654"
Training Day,(2001),69,"76,631,907"
Rugrats in Paris: The Movie,(2000),62,"76,507,756"
Knight and Day,(2010),46,"76,423,035"
Paddington,(2014),77,"76,271,832"
Pete's Dragon,(2016),71,"76,233,151"
The Ring Two,(2005),44,"76,231,249"
Constantine,(2005),50,"75,976,178"
The Haunted Mansion,(2003),34,"75,847,266"
The Family Man,(2000),42,"75,793,305"
Barbershop,(2002),66,"75,782,105"
The Intern,(I) (2015),51,"75,764,672"
Hellboy II: The Golden Army,(2008),78,"75,754,670"
Contagion,(2011),70,"75,658,097"
"You, Me and Dupree",(2006),46,"75,628,110"
We Bought a Zoo,(2011),58,"75,624,550"
2 Guns,(2013),55,"75,612,460"
Moneyball,(2011),87,"75,605,492"
The Rookie,(2002),72,"75,600,072"
Zombieland,(2009),73,"75,590,286"
Old School,(2003),54,"75,585,093"
The Hitman's Bodyguard,(2017),47,"75,468,583"
The Girl on the Train,(2016),48,"75,395,035"
Garfield,(2004),27,"75,369,589"
Ray,(I) (2004),73,"75,331,600"
Coraline,(2009),80,"75,286,229"
The Exorcism of Emily Rose,(2005),46,"75,072,454"
Eragon,(2006),38,"75,030,163"
Ladder 49,(2004),47,"74,541,707"
Four Brothers,(2005),49,"74,494,381"
No Country for Old Men,(2007),91,"74,283,625"
Alien: Covenant,(2017),65,"74,262,031"
Jack and Jill,(I) (2011),23,"74,158,157"
Sin City,(2005),74,"74,103,820"
Along Came a Spider,(2001),42,"74,078,174"
Captain Underpants: The First Epic Movie,(2017),69,"73,921,000"
Hugo,(2011),83,"73,864,507"
Christmas with the Kranks,(2004),22,"73,780,539"
Monster House,(2006),68,"73,661,010"
Law Abiding Citizen,(2009),34,"73,343,413"
Spirit: Stallion of the Cimarron,(2002),52,"73,280,117"
A Madea Family Funeral,(2019),39,"73,257,045"
Hollow Man,(2000),24,"73,209,340"
Boo! A Madea Halloween,(2016),30,"73,159,525"
White House Down,(2013),52,"73,103,784"
John Carter,(2012),51,"73,078,100"
Hotel for Dogs,(2009),51,"73,034,460"
Dinner for Schmucks,(2010),56,"73,026,337"
Barnyard,(2006),42,"72,779,000"
The Interpreter,(2005),62,"72,708,161"
Hercules,(I) (2014),47,"72,688,614"
Storks,(2016),56,"72,679,278"
Bridge of Spies,(2015),81,"72,313,754"
Dolphin Tale,(2011),64,"72,286,779"
Vantage Point,(2008),40,"72,266,306"
A Bad Moms Christmas,(2017),42,"72,110,659"
Fred Claus,(2007),42,"72,006,777"
1408,(2007),64,"71,985,628"
The Purge: Anarchy,(2014),50,"71,962,800"
10 Cloverfield Lane,(2016),76,"71,897,215"
John Q,(2002),30,"71,756,802"
RV,(2006),33,"71,726,025"
Bridget Jones's Diary,(2001),66,"71,543,427"
Chocolat,(2000),64,"71,509,363"
Sideways,(2004),94,"71,503,593"
"I Love You, Man",(2009),70,"71,440,011"
Safe Haven,(I) (2013),34,"71,349,120"
Scary Movie 2,(2001),29,"71,308,997"
The Spiderwick Chronicles,(2008),62,"71,195,053"
The Score,(2001),71,"71,069,884"
Paul Blart: Mall Cop 2,(2015),13,"71,038,190"
The Smurfs 2,(2013),34,"71,017,784"
Shallow Hal,(2001),48,"70,836,296"
White Chicks,(2004),41,"70,831,760"
No Strings Attached,(I) (2011),50,"70,662,220"
The Best Man Holiday,(2013),59,"70,525,195"
V for Vendetta,(2005),62,"70,511,035"
Shaft,(2000),50,"70,334,258"
World Trade Center,(2006),66,"70,278,893"
Rocky Balboa,(2006),63,"70,270,943"
The Big Short,(2015),81,"70,259,870"
Fool's Gold,(I) (2008),29,"70,231,041"
Big Momma's House 2,(2006),34,"70,165,972"
The Golden Compass,(2007),51,"70,107,728"
Kill Bill: Vol. 1,(2003),69,"70,099,045"
Act of Valor,(2012),40,"70,012,847"
Seven Pounds,(2008),36,"69,951,824"
Swordfish,(2001),32,"69,772,969"
The Kid,(2000),45,"69,691,949"
Divine Secrets of the Ya-Ya Sisterhood,(2002),48,"69,599,016"
Vertical Limit,(2000),48,"69,243,859"
The First Purge,(2018),54,"69,086,325"
Game Night,(I) (2018),66,"69,001,013"
Guess Who,(2005),49,"68,915,888"
Sahara,(2005),41,"68,671,925"
Book Club,(I) (2018),53,"68,566,296"
Percy Jackson: Sea of Monsters,(2013),39,"68,559,554"
The House with a Clock in Its Walls,(2018),57,"68,549,695"
Road Trip,(2000),55,"68,540,777"
Bring It On,(2000),52,"68,379,000"
Obsessed,(2009),25,"68,261,644"
Mr. Popper's Penguins,(2011),53,"68,224,452"
Skyscraper,(2018),51,"67,796,355"
War Room,(2015),26,"67,790,117"
The Tourist,(2010),37,"67,631,157"
This Is 40,(2012),59,"67,544,505"
Holes,(2003),71,"67,406,573"
Instant Family,(2018),57,"67,363,237"
Insomnia,(2002),78,"67,355,513"
A Good Day to Die Hard,(2013),28,"67,349,198"
Insidious: The Last Key,(2018),49,"67,347,895"
Role Models,(2008),61,"67,294,270"
Hidalgo,(2004),54,"67,286,731"
Lights Out,(II) (2016),58,"67,268,835"
Coach Carter,(2005),57,"67,264,877"
Hacksaw Ridge,(2016),71,"67,209,615"
Race to Witch Mountain,(2009),52,"67,172,594"
The Bounty Hunter,(I) (2010),22,"67,061,228"
102 Dalmatians,(2000),35,"66,957,026"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",(2014),54,"66,954,149"
Kangaroo Jack,(2003),16,"66,934,963"
Changing Lanes,(2002),69,"66,818,548"
The Mexican,(2001),43,"66,808,615"
Charlie Wilson's War,(2007),69,"66,661,095"
The Forgotten,(2004),43,"66,641,205"
Contraband,(2012),51,"66,528,000"
Looper,(2012),84,"66,486,205"
The Final Destination,(2009),30,"66,477,700"
The League of Extraordinary Gentlemen,(2003),30,"66,465,204"
Finding Forrester,(2000),62,"66,400,000"
Warm Bodies,(2013),60,"66,380,662"
Big Fish,(2003),58,"66,257,002"
Kill Bill: Vol. 2,(2004),83,"66,208,183"
Allegiant,(2016),33,"66,184,051"
Herbie Fully Loaded,(2005),47,"66,023,816"
Magic Mike XXL,(2015),60,"66,013,057"
The Manchurian Candidate,(2004),76,"65,955,630"
Lara Croft Tomb Raider: The Cradle of Life,(2003),43,"65,660,196"
Madea's Witness Protection,(2012),42,"65,653,242"
The Taking of Pelham 123,(2009),55,"65,452,312"
Battleship,(2012),41,"65,422,625"
Step Up,(2006),48,"65,328,121"
The Amityville Horror,(2005),33,"65,233,369"
The Visit,(I) (2015),55,"65,206,105"
Jack the Giant Slayer,(2013),51,"65,187,603"
Think Like a Man Too,(2014),38,"65,182,182"
Barbershop 2: Back in Business,(2004),59,"65,111,277"
Now You See Me 2,(2016),46,"65,075,540"
About Schmidt,(2002),85,"65,016,287"
Exodus: Gods and Kings,(2014),52,"65,014,513"
Friday the 13th,(2009),34,"65,002,019"
Pitch Perfect,(2012),66,"65,001,093"
Stuart Little 2,(2002),66,"64,956,806"
Mirror Mirror,(I) (2012),46,"64,935,167"
Flushed Away,(2006),74,"64,665,672"
Chronicle,(2012),69,"64,575,175"
A Dog's Purpose,(2017),43,"64,508,620"
The Happening,(2008),34,"64,506,874"
The Purge,(I) (2013),41,"64,473,115"
The Wedding Ringer,(2015),35,"64,460,211"
Miracle,(2004),68,"64,378,093"
The Nut Job,(I) (2014),37,"64,251,541"
Down to Earth,(2001),32,"64,186,502"
17 Again,(2009),48,"64,167,069"
Ice Age: Collision Course,(2016),34,"64,063,008"
Deja Vu,(2006),59,"64,038,616"
Happy Feet Two,(2011),50,"64,006,466"
Diary of a Wimpy Kid,(2010),56,"64,003,625"
Sky High,(2005),62,"63,946,815"
Last Vegas,(2013),48,"63,914,167"
Mona Lisa Smile,(2003),45,"63,860,942"
The Shape of Water,(2017),87,"63,859,435"
Unknown,(I) (2011),56,"63,686,397"
Hope Springs,(2012),65,"63,536,011"
Miami Vice,(2006),65,"63,450,470"
The Time Traveler's Wife,(2009),47,"63,414,846"
Saw IV,(2007),36,"63,300,095"
Madea's Family Reunion,(2006),45,"63,257,940"
The Holiday,(2006),52,"63,224,849"
Forgetting Sarah Marshall,(2008),67,"63,172,463"
The Sorcerer's Apprentice,(2010),46,"63,150,991"
A Nightmare on Elm Street,(2010),35,"63,075,011"
The Boss,(2016),40,"63,034,755"
The Last Song,(2010),33,"62,950,384"
London Has Fallen,(2016),28,"62,678,608"
Jarhead,(2005),58,"62,658,220"
Black Mass,(2015),68,"62,575,678"
The Fast and the Furious: Tokyo Drift,(2006),45,"62,514,415"
The Adjustment Bureau,(2011),60,"62,495,645"
Underworld Awakening,(2012),39,"62,321,039"
Underworld: Evolution,(2006),36,"62,318,875"
Bewitched,(2005),34,"62,252,415"
The Wolfman,(2010),43,"61,979,680"
Ender's Game,(2013),51,"61,737,191"
Miracles from Heaven,(2016),44,"61,693,523"
Cinderella Man,(2005),69,"61,649,911"
Stomp the Yard,(2007),44,"61,356,221"
Rules of Engagement,(2000),45,"61,335,230"
The Cell,(2000),40,"61,334,059"
Deepwater Horizon,(2016),68,"61,284,947"
Friday Night Lights,(2004),70,"61,188,085"
The Shaggy Dog,(2006),43,"61,123,569"
Prisoners,(2013),74,"61,002,302"
Get Him to the Greek,(2010),65,"60,974,475"
Mission to Mars,(2000),34,"60,883,407"
Coyote Ugly,(2000),27,"60,786,269"
God's Not Dead,(2014),16,"60,755,732"
Poseidon,(2006),50,"60,674,817"
After Earth,(2013),33,"60,522,097"
Shanghai Knights,(2003),58,"60,476,872"
The Lucky One,(2012),39,"60,457,138"
The Wedding Planner,(2001),33,"60,400,856"
Burn After Reading,(2008),63,"60,355,347"
Why Him?,(2016),39,"60,269,575"
Baby Mama,(2008),55,"60,269,340"
Resident Evil: Afterlife,(2010),37,"60,128,566"
Why Did I Get Married Too?,(2010),43,"60,095,852"
The Family Stone,(2005),56,"60,062,868"
Bad Santa,(2003),70,"60,060,328"
Brüno,(2009),54,"60,054,530"
Tooth Fairy,(I) (2010),36,"60,022,256"
Snow Day,(2000),34,"60,020,107"
The Good Shepherd,(2006),61,"59,952,835"
Little Miss Sunshine,(2006),80,"59,891,098"
Blockers,(2018),69,"59,839,515"
Secretariat,(2010),61,"59,713,955"
Son of God,(2014),37,"59,700,064"
Love Actually,(2003),55,"59,696,144"
Gothika,(2003),38,"59,694,580"
The Dictator,(2012),58,"59,650,222"
Hellboy,(2004),72,"59,623,958"
My Big Fat Greek Wedding 2,(2016),37,"59,573,085"
The Stepford Wives,(2004),42,"59,484,742"
The Lego Ninjago Movie,(2017),55,"59,281,555"
Pacific Rim: Uprising,(2018),44,"59,185,715"
Planes: Fire & Rescue,(2014),48,"59,165,787"
The Grand Budapest Hotel,(2014),88,"59,100,318"
Behind Enemy Lines,(2001),49,"59,068,786"
Dawn of the Dead,(2004),59,"59,020,957"
Vacation,(I) (2015),34,"58,884,188"
Total Recall,(I) (2012),43,"58,877,969"
Surf's Up,(2007),64,"58,867,694"
Bride Wars,(2009),24,"58,715,510"
Water for Elephants,(2011),52,"58,709,717"
Jack Reacher: Never Go Back,(2016),47,"58,697,076"
Little Man,(III) (2006),26,"58,645,052"
Curious George,(2006),62,"58,640,119"
RoboCop,(2014),52,"58,607,007"
Easy A,(2010),72,"58,401,464"
Open Range,(2003),67,"58,331,254"
Halloween,(2007),47,"58,272,029"
The Secret Life of Walter Mitty,(2013),54,"58,236,838"
Ali,(2001),65,"58,203,105"
Without a Paddle,(2004),29,"58,169,327"
Baywatch,(2017),37,"58,060,186"
Maze Runner: The Death Cure,(2018),50,"58,032,443"
Step Up 2: The Streets,(2008),50,"58,017,783"
The Lincoln Lawyer,(2011),63,"58,009,200"
The Butterfly Effect,(2004),30,"57,938,693"
Red Eye,(2005),71,"57,891,803"
Shall We Dance,(2004),47,"57,890,460"
Invincible,(2006),63,"57,789,574"
The Chronicles of Riddick,(2004),38,"57,761,012"
Takers,(2010),45,"57,744,720"
The Animal,(2001),43,"57,743,062"
The Benchwarmers,(2006),25,"57,651,794"
Fences,(2016),79,"57,642,961"
Memoirs of a Geisha,(2005),54,"57,490,508"
Tomb Raider,(2018),48,"57,421,715"
Moulin Rouge!,(2001),66,"57,386,607"
Blood Diamond,(2006),64,"57,366,262"
The Shack,(I) (2017),32,"57,330,873"
Next Friday,(2000),41,"57,328,603"
The Whole Nine Yards,(2000),47,"57,262,492"
13 Going on 30,(2004),57,"57,231,747"
The Perfect Guy,(I) (2015),36,"57,017,904"
Escape from Planet Earth,(2013),35,"57,012,977"
American Reunion,(2012),49,"57,011,521"
Escape Room,(I) (2019),48,"57,005,601"
Shanghai Noon,(2000),77,"56,937,502"
Midnight in Paris,(2011),81,"56,816,662"
Saw V,(2008),20,"56,746,769"
The Time Machine,(2002),42,"56,684,819"
12 Years a Slave,(2013),96,"56,671,993"
Rat Race,(2001),52,"56,618,055"
A Knight's Tale,(2001),56,"56,569,702"
Joy,(I) (2015),56,"56,451,232"
Darkest Hour,(2017),75,"56,443,120"
The Queen,(2006),91,"56,441,711"
Drumline,(2002),63,"56,398,162"
White Noise,(I) (2005),30,"56,386,759"
Once Upon a Time in Mexico,(2003),56,"56,359,780"
Dracula Untold,(2014),40,"56,280,355"
Me Before You,(2016),51,"56,245,075"
Just Married,(2003),28,"56,127,162"
Fantastic Four,(2015),27,"56,117,548"
Wallace & Gromit: The Curse of the Were-Rabbit,(2005),87,"56,110,897"
Be Cool,(2005),37,"56,046,979"
ParaNorman,(2012),72,"56,003,051"
Saw,(2004),46,"56,000,369"
Romeo Must Die,(2000),52,"55,973,336"
Friends with Benefits,(2011),63,"55,802,754"
Free Birds,(2013),38,"55,750,480"
Hansel & Gretel: Witch Hunters,(2013),23,"55,703,475"
Happy Death Day,(2017),58,"55,683,845"
Legend of the Guardians: The Owls of Ga'Hoole,(2010),53,"55,675,313"
The BFG,(2016),66,"55,483,770"
The Haunting in Connecticut,(2009),33,"55,389,516"
Neighbors 2: Sorority Rising,(2016),58,"55,291,815"
Ghosts of Girlfriends Past,(2009),34,"55,250,026"
Why Did I Get Married?,(2007),54,"55,184,721"
The Shallows,(2016),59,"55,121,623"
I Am Number Four,(2011),36,"55,100,437"
The Guardian,(I) (2006),53,"55,011,732"
Don't Say a Word,(2001),38,"55,001,642"
The Nutcracker and the Four Realms,(2018),39,"54,858,851"
This Means War,(2012),31,"54,760,791"
Project X,(2012),48,"54,731,865"
Office Christmas Party,(2016),42,"54,730,514"
Pet Sematary,(2019),57,"54,724,696"
Source Code,(2011),74,"54,712,227"
Assassin's Creed,(2016),36,"54,647,948"
What Men Want,(2019),49,"54,611,903"
The Omen,(2006),43,"54,607,383"
Crash,(I) (2004),69,"54,580,300"
Tag,(I) (2018),56,"54,547,470"
New Year's Eve,(2011),22,"54,544,638"
"Three Billboards Outside Ebbing, Missouri",(2017),88,"54,513,740"
Horrible Bosses 2,(2014),40,"54,445,357"
The Curse of La Llorona,(2019),41,"54,443,082"
The Hundred-Foot Journey,(2014),55,"54,240,821"
Evil Dead,(2013),57,"54,239,856"
The Count of Monte Cristo,(2002),61,"54,234,062"
TMNT,(2007),41,"54,149,098"
The Hateful Eight,(2015),68,"54,117,416"
Final Destination 3,(2006),41,"54,098,051"
Barbershop: The Next Cut,(2016),67,"54,030,051"
Insidious,(I) (2010),52,"54,009,150"
Paranormal Activity 4,(2012),40,"53,921,300"
Focus,(II) (2015),56,"53,862,963"
Paycheck,(2003),43,"53,790,451"
P.S. I Love You,(2007),39,"53,695,808"
3:10 to Yuma,(2007),76,"53,606,916"
A Simple Favor,(2018),67,"53,542,417"
"Yours, Mine & Ours",(2005),38,"53,412,862"
Life as We Know It,(2010),39,"53,374,681"
Corpse Bride,(2005),83,"53,359,111"
Madea's Big Happy Family,(2011),45,"53,345,287"
Final Destination,(2000),36,"53,331,147"
RED 2,(2013),47,"53,262,560"
The Devil Inside,(2012),18,"53,261,944"
The Prestige,(2006),66,"53,089,891"
Letters to Juliet,(2010),50,"53,032,453"
Blow,(2001),52,"52,990,775"
Sweeney Todd: The Demon Barber of Fleet Street,(2007),83,"52,898,073"
Life of the Party,(I) (2018),46,"52,856,061"
13 Hours,(2016),48,"52,853,219"
The Recruit,(2003),56,"52,802,140"
Unfaithful,(2002),63,"52,801,000"
Diary of a Wimpy Kid: Rodrick Rules,(2011),51,"52,698,535"
The Strangers,(2008),47,"52,597,610"
Kicking & Screaming,(2005),45,"52,580,895"
No Good Deed,(I) (2014),26,"52,543,632"
Wall Street: Money Never Sleeps,(2010),59,"52,474,616"
A Madea Christmas,(2013),28,"52,440,051"
Southpaw,(2015),57,"52,421,953"
Blade: Trinity,(2004),38,"52,411,906"
The Royal Tenenbaums,(2001),76,"52,364,010"
The Lake House,(2006),52,"52,330,111"
Radio,(2003),38,"52,277,485"
Insidious: Chapter 3,(2015),52,"52,218,558"
Identity,(2003),64,"52,159,536"
Selma,(2014),88,"52,076,908"
The Forbidden Kingdom,(2008),57,"52,075,270"
Predators,(2010),51,"52,000,688"
Temptation: Confessions of a Marriage Counselor,(2013),26,"51,975,354"
Underworld,(2003),42,"51,970,690"
King Arthur,(2004),46,"51,882,244"
The Call,(II) (2013),51,"51,872,378"
Funny People,(2009),60,"51,855,045"
The Odd Life of Timothy Green,(2012),47,"51,853,450"
Footloose,(2011),58,"51,802,742"
Ghost Rider: Spirit of Vengeance,(2011),34,"51,774,002"
Exit Wounds,(2001),39,"51,758,599"
Lion,(2016),69,"51,739,495"
I Can Do Bad All by Myself,(2009),55,"51,733,921"
Finding Neverland,(2004),67,"51,680,613"
The Grey,(2011),64,"51,580,136"
Atomic Blonde,(2017),63,"51,573,925"
My Bloody Valentine,(2009),51,"51,545,952"
A Cinderella Story,(2004),25,"51,438,175"
Like Mike,(2002),47,"51,432,423"
Enemy at the Gates,(2001),53,"51,401,758"
Hoodwinked!,(2005),45,"51,386,611"
American Made,(2017),65,"51,342,000"
The Phantom of the Opera,(2004),40,"51,268,815"
Resident Evil: Apocalypse,(2004),35,"51,201,453"
Muppets Most Wanted,(2014),61,"51,183,113"
Hide and Seek,(2005),35,"51,100,486"
The Hitchhiker's Guide to the Galaxy,(2005),63,"51,085,416"
The Predator,(2018),48,"51,024,708"
Atonement,(2007),85,"50,927,067"
The Tale of Despereaux,(2008),53,"50,877,145"
Apocalypto,(2006),68,"50,866,635"
The Road to El Dorado,(2000),51,"50,863,742"
Ouija,(II) (2014),38,"50,856,010"
The Boxtrolls,(2014),61,"50,837,305"
Syriana,(2005),76,"50,824,620"
The Dark Tower,(2017),34,"50,701,325"
Resident Evil: Extinction,(2007),41,"50,648,679"
Diary of a Mad Black Woman,(2005),36,"50,633,099"
Jack Ryan: Shadow Recruit,(2014),57,"50,577,412"
Music and Lyrics,(2007),59,"50,572,589"
The Tuxedo,(2002),30,"50,547,998"
If I Stay,(2014),46,"50,474,843"
K-PAX,(2001),49,"50,338,485"
Overboard,(2018),42,"50,316,123"
Rocketman,(2019),70,"50,314,772"
Serendipity,(2001),52,"50,294,317"
Hot Tub Time Machine,(2010),63,"50,287,556"
The Book of Life,(2014),67,"50,151,543"
Sicario: Day of the Soldado,(2018),61,"50,072,235"
Home on the Range,(2004),50,"50,030,461"
Red Tails,(2012),46,"49,876,377"
Pain & Gain,(2013),45,"49,875,291"
Racing Stripes,(2005),43,"49,772,522"
Are We Done Yet?,(2007),36,"49,631,958"
Australia,(2008),53,"49,554,002"
Old Dogs,(I) (2009),19,"49,492,060"
Runaway Jury,(2003),61,"49,443,628"
Land of the Lost,(2009),32,"49,438,370"
My Sister's Keeper,(2009),51,"49,200,230"
The Possession,(I) (2012),45,"49,130,154"
This Christmas,(2007),63,"49,121,934"
Michael Clayton,(2007),82,"49,033,882"
Diary of a Wimpy Kid: Dog Days,(2012),54,"49,008,662"
Lady Bird,(2017),94,"48,958,273"
Men of Honor,(2000),56,"48,818,921"
I Feel Pretty,(2018),48,"48,795,601"
Isn't It Romantic,(2019),60,"48,791,187"
Firewall,(2006),45,"48,751,189"
BlacKkKlansman,(2018),83,"48,686,605"
About Last Night,(2014),62,"48,637,684"
Date Movie,(2006),11,"48,548,426"
Miss Congeniality 2: Armed & Fabulous,(2005),34,"48,478,006"
The Dilemma,(2011),46,"48,475,290"
Peter Pan,(2003),64,"48,462,608"
Peter Pan 2: Return to Never Land,(2002),49,"48,430,258"
The Huntsman: Winter's War,(2016),35,"48,390,190"
Just Like Heaven,(2005),47,"48,318,130"
The House Bunny,(2008),55,"48,237,389"
Fat Albert,(2004),39,"48,116,322"
Sinister,(I) (2012),53,"48,086,903"
Kick-Ass,(2010),66,"48,071,303"
Kubo and the Two Strings,(2016),84,"48,023,088"
Secret Window,(2004),46,"48,022,900"
Nim's Island,(2008),55,"48,006,503"
The Jungle Book 2,(2003),38,"47,887,943"
When a Stranger Calls,(2006),27,"47,860,214"
Premonition,(I) (2007),29,"47,852,604"
Vice,(I) (2018),61,"47,836,282"
Big Fat Liar,(2002),36,"47,811,275"
Agent Cody Banks,(2003),41,"47,811,138"
The Skeleton Key,(2005),47,"47,806,295"
The Rundown,(2003),59,"47,726,342"
Manchester by the Sea,(2016),96,"47,695,120"
Dan in Real Life,(I) (2007),65,"47,642,963"
Into the Storm,(2014),44,"47,602,194"
The Secret Life of Pets 2,(2019),55,"47,577,680"
The Kingdom,(2007),56,"47,536,778"
Poltergeist,(2015),47,"47,425,125"
Munich,(2005),74,"47,403,685"
Kingdom of Heaven,(2005),63,"47,398,413"
Precious,(II) (2009),79,"47,395,661"
Jupiter Ascending,(2015),40,"47,387,723"
Savages,(2012),59,"47,382,068"
Warcraft: The Beginning,(2016),32,"47,365,290"
Hostel,(2005),55,"47,326,473"
Boo 2! A Madea Halloween,(2017),17,"47,319,572"
Nanny McPhee,(2005),59,"47,144,110"
