TEAM,RANK,RANKORD,WIN,LOST
ATL,5,5th,43,39
BKN,15,15th,20,62
BOS,1,1st,53,29
CHA,11,11th,36,46
CHI,8,8th,41,41
CLE,2,2nd,51,31
DAL,11,11th,33,49
DEN,9,9th,40,42
DET,10,10th,37,45
GS,1,1st,67,15
HOU,3,3rd,55,27
IND,6,6th,42,40
LAC,4,4th,51,31
LAL,14,14th,26,56
MEM,7,7th,43,39
MIA,8,8th,41,41
MIL,6,6th,42,40
MIN,13,13th,31,51
NO,10,10th,34,48
NY,12,12th,31,51
OKC,6,6th,47,35
ORL,13,13th,29,53
PHI,14,14th,28,54
PHO,15,15th,24,58
POR,8,8th,41,41
SA,2,2nd,61,21
SAC,12,12th,32,50
TOR,2,2nd,51,31
UTA,4,4th,51,31
WAS,4,4th,49,33
