Artist,Song,Date,Current Rank,Last Weeks Position,Weeks on Chart,Peak Position
Lee Andrews And The Hearts,Try The Impossible,1958-08-04,83,0,0,0
Eddie Cochran,Summertime Blues,1958-08-04,84,0,0,0
The Daddy-O's,Got A Match?,1958-08-04,85,0,0,0
Jackie Wilson,To Be Loved,1958-08-04,86,0,0,0
Kitty Wells,Jealousy,1958-08-04,87,0,0,0
The Upbeats,Just Like In The Movies,1958-08-04,88,0,0,0
Jim Reeves,Blue Boy,1958-08-04,89,0,0,0
The Ames Brothers,Stay,1958-08-04,90,0,0,0
Joe South,The Purple People Eater Meets The Witch Doctor,1958-08-04,91,0,0,0
The Everly Brothers,Bird Dog,1958-08-04,92,0,0,0
Jimmie Rodgers,Are You Really Mine,1958-08-04,93,0,0,0
Marty Robbins,She Was Only Seventeen (He Was One Year More),1958-08-04,94,0,0,0
Fats Domino,Little Mary,1958-08-04,95,0,0,0
Thurston Harris,Over And Over,1958-08-04,96,0,0,0
Robert & Johnny,I Believe In You,1958-08-04,97,0,0,0
The Ames Brothers,Little Serenade,1958-08-04,98,0,0,0
Billy Williams,I'll Get By (As Long As I Have You),1958-08-04,99,0,0,0
Frankie Vaughan,Judy,1958-08-04,100,0,0,0
Ricky Nelson,Poor Little Fool,1958-08-11,1,1,1,2
Domenico Modugno,Nel Blu Dipinto Di Blu (Volar),1958-08-11,2,54,2,2
Perez Prado And His Orchestra,Patricia,1958-08-11,3,2,2,2
Bobby Darin,Splish Splash,1958-08-11,4,3,3,2
Kalin Twins,When,1958-08-11,5,5,5,2
Jack Scott,My True Love,1958-08-11,6,8,6,2
Elvis Presley With The Jordanaires,Hard Headed Woman,1958-08-11,7,4,4,2
Duane Eddy His Twangy Guitar And The Rebels,Rebel-'rouser,1958-08-11,8,6,6,2
Jimmy Clanton And His Rockets,Just A Dream,1958-08-11,9,12,9,2
The Johnny Otis Show,Willie And The Hand Jive,1958-08-11,9,9,9,2
The Coasters,Yakety Yak,1958-08-11,11,7,7,2
Pat Boone,If Dreams Came True,1958-08-11,12,14,12,2
Peggy Lee,Fever,1958-08-11,13,10,10,2
The Elegants,Little Star,1958-08-11,14,18,14,2
Frankie Avalon,Ginger Bread,1958-08-11,15,11,11,2
Doris Day,Everybody Loves A Lover,1958-08-11,16,19,16,2
The Danleers,One Summer Night,1958-08-11,17,16,16,2
Poni-Tails,Born Too Late,1958-08-11,18,26,18,2
Patti Page,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),1958-08-11,19,13,13,2
Jody Reynolds,Endless Sleep,1958-08-11,20,17,17,2
The Olympics,Western Movies,1958-08-11,21,23,21,2
Johnny Cash And The Tennessee Two,Guess Things Happen That Way,1958-08-11,22,21,21,2
Jerry Butler and The Impressions,For Your Precious Love,1958-08-11,23,15,15,2
The Rinky-Dinks,Early In The Morning,1958-08-11,24,52,24,2
Buddy Knox with the Rhythm Orchids,Somebody Touched Me,1958-08-11,25,38,25,2
Jimmie Rodgers,Are You Really Mine,1958-08-11,26,93,26,2
Bobby Freeman,Do You Want To Dance,1958-08-11,27,20,20,2
Johnny Mathis,A Certain Smile,1958-08-11,28,22,22,2
The Four Lads,Enchanted Island,1958-08-11,29,29,29,2
Perry Como,Moon Talk,1958-08-11,30,37,30,2
Chuck Willis,What Am I Living For,1958-08-11,31,25,25,2
The Crickets,Think It Over,1958-08-11,32,27,27,2
Bobby Day,Rock-in Robin,1958-08-11,33,35,33,2
The Everly Brothers,Bird Dog,1958-08-11,34,92,34,2
Connie Francis,Stupid Cupid,1958-08-11,35,72,35,2
Don Gibson,Blue Blue Day,1958-08-11,36,32,32,2
Dean Martin,Volare (Nel Blu Dipinto Di Blu),1958-08-11,37,68,37,2
Big Bopper,Chantilly Lace,1958-08-11,38,31,31,2
Dean Martin,Angel Baby,1958-08-11,39,30,30,2
Buddy Holly,Early In The Morning,1958-08-11,40,41,40,2
Jimmie Rodgers,Secretly,1958-08-11,41,28,28,2
Robin Luke,Susie Darlin',1958-08-11,42,0,0,0
The Everly Brothers,Devoted To You,1958-08-11,43,0,0,0
Bobby Freeman,Betty Lou Got A New Pair Of Shoes,1958-08-11,44,78,44,2
Jim Reeves,Blue Boy,1958-08-11,45,89,45,2
Nat King Cole,Come Closer To Me (Acercate Mas),1958-08-11,46,53,46,2
Sheb Wooley,The Purple People Eater,1958-08-11,47,24,24,2
The Slades,You Cheated,1958-08-11,48,42,42,2
Clyde McPhatter,Come What May,1958-08-11,49,43,43,2
Bobby Hendricks,Itchy Twitchy Feeling,1958-08-11,50,61,50,2
Faron Young,Alone With You,1958-08-11,51,0,0,0
Eddie Cochran,Summertime Blues,1958-08-11,52,84,52,2
Bobby Day,Over And Over,1958-08-11,53,60,53,2
Elvis Presley With The Jordanaires,Don't Ask Me Why,1958-08-11,54,34,34,2
Tony And Joe,The Freeze,1958-08-11,55,33,33,2
Jack Scott,Leroy,1958-08-11,56,56,56,2
Pat Boone,That's How Much I Love You,1958-08-11,57,39,39,2
The Drifters,Drip Drop,1958-08-11,58,0,0,0
Gerry Granahan,"No Chemise, Please",1958-08-11,59,36,36,2
Dion & The Belmonts,I Wonder Why,1958-08-11,60,47,47,2
Sam Cooke,Win Your Love For Me,1958-08-11,61,74,61,2
Bobby Hamilton,Crazy Eyes For You,1958-08-11,62,40,40,2
Dean Martin,Return To Me,1958-08-11,63,48,48,2
Eydie Gorme,You Need Hands,1958-08-11,64,57,57,2
Toni Arden,Padre,1958-08-11,65,63,63,2
Jerry Lee Lewis And His Pumping Piano,High School Confidential,1958-08-11,66,63,63,2
Bill Haley And His Comets,Lean Jean,1958-08-11,67,0,0,0
The Platters,You're Making A Mistake,1958-08-11,68,65,65,2
Jimmy Bowen with the Rhythm Orchids,By The Light Of The Silvery Moon,1958-08-11,69,50,50,2
Lee Andrews And The Hearts,Try The Impossible,1958-08-11,70,83,70,2
Paul Anka,Midnight,1958-08-11,71,76,71,2
Fats Domino,Little Mary,1958-08-11,72,95,72,2
Little Anthony And The Imperials,Tears On My Pillow,1958-08-11,73,0,0,0
The Diamonds,Kathy-O,1958-08-11,74,45,45,2
The Three G's,Let's Go Steady For The Summer,1958-08-11,75,55,55,2
Marty Robbins,Just Married,1958-08-11,76,0,0,0
Jan & Arnie,Jennie Lee,1958-08-11,77,44,44,2
Royal Teens,Harvey's Got A Girl Friend,1958-08-11,78,0,0,0
Marty Robbins,She Was Only Seventeen (He Was One Year More),1958-08-11,79,94,79,2
The Diamonds,Happy Years,1958-08-11,80,77,77,2
Nat King Cole,Looking Back,1958-08-11,81,0,0,0
Tony Bennett,Young And Warm And Wonderful,1958-08-11,81,59,59,2
Kitty Wells,Jealousy,1958-08-11,83,87,83,2
Little Willie John,You're A Sweetheart,1958-08-11,84,0,0,0
Jimmie Rodgers,The Wizard,1958-08-11,85,0,0,0
The Drifters,Moonlight Bay,1958-08-11,86,0,0,0
Johnny Cash And The Tennessee Two,Come In Stranger,1958-08-11,87,0,0,0
Boots Brown And His Blockbusters,Cerveza,1958-08-11,88,0,0,0
Joe South,The Purple People Eater Meets The Witch Doctor,1958-08-11,89,91,89,2
The Playmates,Don't Go Home,1958-08-11,90,70,70,2
The Everly Brothers,All I Have To Do Is Dream,1958-08-11,91,49,49,2
Billy Vaughn And His Orchestra,La Paloma,1958-08-11,92,0,0,0
Robert & Johnny,I Believe In You,1958-08-11,93,97,93,2
The Champs,Midnighter,1958-08-11,94,0,0,0
The Champs,Chariot Rock,1958-08-11,95,0,0,0
Jimmy Reed,Down In Virginia,1958-08-11,96,0,0,0
Tennessee Ernie Ford,Sunday Barbecue,1958-08-11,97,0,0,0
Eydie Gorme,Gotta Have Rain,1958-08-11,98,74,74,2
Nat King Cole,Nothing In The World,1958-08-11,99,0,0,0
The Kirby Stone Four,"Baubles, Bangles And Beads",1958-08-11,100,50,50,2
Domenico Modugno,Nel Blu Dipinto Di Blu (Volar),1958-08-18,1,2,1,3
The Elegants,Little Star,1958-08-18,2,14,2,3
Jack Scott,My True Love,1958-08-18,3,6,3,3
Ricky Nelson,Poor Little Fool,1958-08-18,4,1,1,3
Perez Prado And His Orchestra,Patricia,1958-08-18,5,3,2,3
Jimmy Clanton And His Rockets,Just A Dream,1958-08-18,5,9,5,3
Kalin Twins,When,1958-08-18,7,5,5,3
Duane Eddy His Twangy Guitar And The Rebels,Rebel-'rouser,1958-08-18,8,8,6,3
Peggy Lee,Fever,1958-08-18,9,13,9,3
Bobby Darin,Splish Splash,1958-08-18,10,4,3,3
Frankie Avalon,Ginger Bread,1958-08-18,11,15,11,3
The Johnny Otis Show,Willie And The Hand Jive,1958-08-18,12,9,9,3
Elvis Presley With The Jordanaires,Hard Headed Woman,1958-08-18,13,7,4,3
Doris Day,Everybody Loves A Lover,1958-08-18,14,16,14,3
Pat Boone,If Dreams Came True,1958-08-18,15,12,12,3
Poni-Tails,Born Too Late,1958-08-18,16,18,16,3
The Everly Brothers,Bird Dog,1958-08-18,17,34,17,3
The Coasters,Yakety Yak,1958-08-18,18,11,7,3
The Olympics,Western Movies,1958-08-18,19,21,19,3
Dean Martin,Volare (Nel Blu Dipinto Di Blu),1958-08-18,20,37,20,3
The Danleers,One Summer Night,1958-08-18,21,17,16,3
Buddy Knox with the Rhythm Orchids,Somebody Touched Me,1958-08-18,22,25,22,3
Patti Page,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),1958-08-18,23,19,13,3
Jimmie Rodgers,Are You Really Mine,1958-08-18,24,26,24,3
The Everly Brothers,Devoted To You,1958-08-18,25,43,25,2
The Rinky-Dinks,Early In The Morning,1958-08-18,26,24,24,3
Robin Luke,Susie Darlin',1958-08-18,27,42,27,2
The Crickets,Think It Over,1958-08-18,28,32,27,3
Big Bopper,Chantilly Lace,1958-08-18,29,38,29,3
Johnny Mathis,A Certain Smile,1958-08-18,30,28,22,3
Connie Francis,Stupid Cupid,1958-08-18,31,35,31,3
Jody Reynolds,Endless Sleep,1958-08-18,32,20,17,3
Jerry Butler and The Impressions,For Your Precious Love,1958-08-18,33,23,15,3
Perry Como,Moon Talk,1958-08-18,34,30,30,3
Don Gibson,Blue Blue Day,1958-08-18,35,36,32,3
The Four Lads,Enchanted Island,1958-08-18,36,29,29,3
Buddy Holly,Early In The Morning,1958-08-18,37,40,37,3
Bobby Day,Rock-in Robin,1958-08-18,38,33,33,3
Johnny Cash And The Tennessee Two,Guess Things Happen That Way,1958-08-18,39,22,21,3
Dean Martin,Angel Baby,1958-08-18,40,39,30,3
Bobby Hendricks,Itchy Twitchy Feeling,1958-08-18,41,50,41,3
Chuck Willis,What Am I Living For,1958-08-18,42,31,25,3
Bobby Freeman,Do You Want To Dance,1958-08-18,43,27,20,3
Eddie Cochran,Summertime Blues,1958-08-18,44,52,44,3
Pat Boone,That's How Much I Love You,1958-08-18,45,57,39,3
Bobby Freeman,Betty Lou Got A New Pair Of Shoes,1958-08-18,46,44,44,3
Billy Vaughn And His Orchestra,La Paloma,1958-08-18,47,92,47,2
Nat King Cole,Come Closer To Me (Acercate Mas),1958-08-18,48,46,46,3
The Slades,You Cheated,1958-08-18,49,48,42,3
Tony And Joe,The Freeze,1958-08-18,50,55,33,3
Marty Robbins,She Was Only Seventeen (He Was One Year More),1958-08-18,51,79,51,3
Jerry Wallace,How The Time Flies,1958-08-18,52,0,0,0
Clyde McPhatter,Come What May,1958-08-18,53,49,43,3
Sam Cooke,Win Your Love For Me,1958-08-18,54,61,54,3
Elvis Presley With The Jordanaires,Don't Ask Me Why,1958-08-18,55,54,34,3
The Diamonds,Kathy-O,1958-08-18,56,74,45,3
Bobby Day,Over And Over,1958-08-18,57,53,53,3
Jimmy Bowen with the Rhythm Orchids,By The Light Of The Silvery Moon,1958-08-18,58,69,50,3
The Kirby Stone Four,"Baubles, Bangles And Beads",1958-08-18,59,100,50,3
Bobby Helms,Borrowed Dreams,1958-08-18,60,0,0,0
Oscar McLollie and Jeanette Baker,Hey Girl - Hey Boy,1958-08-18,61,-,61,2
Bobby Hamilton,Crazy Eyes For You,1958-08-18,62,62,40,3
Little Anthony And The Imperials,Tears On My Pillow,1958-08-18,63,73,63,2
Jimmie Rodgers,The Wizard,1958-08-18,64,85,64,2
Jim Reeves,Blue Boy,1958-08-18,65,45,45,3
Little Willie John,You're A Sweetheart,1958-08-18,66,84,66,2
Roger Williams,Near You,1958-08-18,67,0,0,0
Faron Young,Alone With You,1958-08-18,68,51,51,2
Paul Anka,Midnight,1958-08-18,69,71,69,3
Gerry Granahan,"No Chemise, Please",1958-08-18,70,59,36,3
Toni Arden,Padre,1958-08-18,71,65,63,3
The Four Preps,Lazy Summer Night,1958-08-18,71,0,0,0
The Diamonds,Happy Years,1958-08-18,73,80,73,3
The Jamies,"Summertime, Summertime",1958-08-18,74,0,0,0
The Upbeats,Just Like In The Movies,1958-08-18,75,-,75,2
DeJohn Sisters,Straighten Up & Fly Right,1958-08-18,76,0,0,0
Jimmie Rodgers,Secretly,1958-08-18,77,41,28,3
The Champs,Chariot Rock,1958-08-18,78,95,78,2
Jim Backus & Friend,Delicious!,1958-08-18,79,-,66,2
The Three G's,Let's Go Steady For The Summer,1958-08-18,80,75,55,3
Sheb Wooley,The Purple People Eater,1958-08-18,81,47,24,3
Jan & Arnie,Gas Money,1958-08-18,81,0,0,0
Boots Brown And His Blockbusters,Cerveza,1958-08-18,83,88,83,2
Bill Doggett,Blip Blop,1958-08-18,84,-,82,2
The Platters,You're Making A Mistake,1958-08-18,85,68,65,3
Royal Teens,Harvey's Got A Girl Friend,1958-08-18,86,78,78,2
Eydie Gorme,Gotta Have Rain,1958-08-18,87,98,74,3
Betty Madigan,Dance Everyone Dance,1958-08-18,88,0,0,0
Janice Harper,Devotion,1958-08-18,89,0,0,0
Chuck Willis,My Life,1958-08-18,90,0,0,0
The Quin-Tones,Down The Aisle Of Love,1958-08-18,91,0,0,0
Dean Martin,Return To Me,1958-08-18,92,63,48,3
Jimmy Reed,Down In Virginia,1958-08-18,93,96,93,2
Jody Reynolds,Fire Of Love,1958-08-18,94,0,0,0
Les Paul And Mary Ford,Put A Ring On My Finger,1958-08-18,95,0,0,0
Tommy Edwards,It's All In The Game,1958-08-18,96,0,0,0
The Gaylords,Ma Ma Ma Marie,1958-08-18,97,0,0,0
Tommy Mara,Where The Blue Of The Night,1958-08-18,98,0,0,0
The DeCastro Sisters,Who Are They To Say,1958-08-18,99,0,0,0
Count Basie & His Orch.,Going To Chicago Blues,1958-08-18,100,0,0,0
The Elegants,Little Star,1958-08-25,1,2,1,4
Domenico Modugno,Nel Blu Dipinto Di Blu (Volar),1958-08-25,2,1,1,4
The Everly Brothers,Bird Dog,1958-08-25,3,17,3,4
Jimmy Clanton And His Rockets,Just A Dream,1958-08-25,4,5,4,4
Jack Scott,My True Love,1958-08-25,5,3,3,4
Ricky Nelson,Poor Little Fool,1958-08-25,6,4,1,4
Perez Prado And His Orchestra,Patricia,1958-08-25,7,5,2,4
Poni-Tails,Born Too Late,1958-08-25,8,16,8,4
Peggy Lee,Fever,1958-08-25,8,9,8,4
Kalin Twins,When,1958-08-25,10,7,5,4
Duane Eddy His Twangy Guitar And The Rebels,Rebel-'rouser,1958-08-25,11,8,6,4
The Johnny Otis Show,Willie And The Hand Jive,1958-08-25,12,12,9,4
The Olympics,Western Movies,1958-08-25,13,19,13,4
Doris Day,Everybody Loves A Lover,1958-08-25,14,14,14,4
The Everly Brothers,Devoted To You,1958-08-25,15,25,15,3
Bobby Darin,Splish Splash,1958-08-25,16,10,3,4
Frankie Avalon,Ginger Bread,1958-08-25,17,11,11,4
Pat Boone,If Dreams Came True,1958-08-25,18,15,12,4
Dean Martin,Volare (Nel Blu Dipinto Di Blu),1958-08-25,19,20,19,4
Jimmie Rodgers,Are You Really Mine,1958-08-25,20,24,20,4
Elvis Presley With The Jordanaires,Hard Headed Woman,1958-08-25,21,13,4,4
Connie Francis,Stupid Cupid,1958-08-25,22,31,22,4
Robin Luke,Susie Darlin',1958-08-25,23,27,23,3
Eddie Cochran,Summertime Blues,1958-08-25,24,44,24,4
Bobby Day,Rock-in Robin,1958-08-25,25,38,25,4
Little Anthony And The Imperials,Tears On My Pillow,1958-08-25,26,63,26,3
The Danleers,One Summer Night,1958-08-25,27,21,16,4
Buddy Knox with the Rhythm Orchids,Somebody Touched Me,1958-08-25,28,22,22,4
The Rinky-Dinks,Early In The Morning,1958-08-25,29,26,24,4
Big Bopper,Chantilly Lace,1958-08-25,30,29,29,4
The Crickets,Think It Over,1958-08-25,31,28,27,4
Buddy Holly,Early In The Morning,1958-08-25,32,37,32,4
Patti Page,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),1958-08-25,33,23,13,4
Johnny Mathis,A Certain Smile,1958-08-25,34,30,22,4
The Coasters,Yakety Yak,1958-08-25,35,18,7,4
Perry Como,Moon Talk,1958-08-25,36,34,30,4
Bobby Freeman,Betty Lou Got A New Pair Of Shoes,1958-08-25,37,46,37,4
Marty Robbins,She Was Only Seventeen (He Was One Year More),1958-08-25,38,51,38,4
Billy Vaughn And His Orchestra,La Paloma,1958-08-25,39,47,39,3
Tommy Edwards,It's All In The Game,1958-08-25,40,96,40,2
Bobby Day,Over And Over,1958-08-25,41,57,41,4
Bobby Hendricks,Itchy Twitchy Feeling,1958-08-25,42,41,41,4
Don Gibson,Blue Blue Day,1958-08-25,43,35,32,4
The Four Preps,Lazy Summer Night,1958-08-25,44,71,44,2
Sam Cooke,Win Your Love For Me,1958-08-25,45,54,45,4
Jerry Butler and The Impressions,For Your Precious Love,1958-08-25,46,33,15,4
Bobby Freeman,Do You Want To Dance,1958-08-25,47,43,20,4
The Four Lads,Enchanted Island,1958-08-25,48,36,29,4
Jerry Wallace,How The Time Flies,1958-08-25,49,52,49,2
Chuck Willis,What Am I Living For,1958-08-25,50,42,25,4
Jimmie Rodgers,The Wizard,1958-08-25,51,64,51,3
Jimmy Bowen with the Rhythm Orchids,By The Light Of The Silvery Moon,1958-08-25,52,58,50,4
The Diamonds,Kathy-O,1958-08-25,53,56,45,4
Elvis Presley With The Jordanaires,Don't Ask Me Why,1958-08-25,54,55,34,4
Johnny Cash And The Tennessee Two,Guess Things Happen That Way,1958-08-25,55,39,21,4
Nat King Cole,Come Closer To Me (Acercate Mas),1958-08-25,56,48,46,4
Chuck Berry,Carol,1958-08-25,57,0,0,0
Tony And Joe,The Freeze,1958-08-25,58,50,33,4
Les Paul And Mary Ford,Put A Ring On My Finger,1958-08-25,59,95,59,2
Dean Martin,Angel Baby,1958-08-25,60,40,30,4
The Jamies,"Summertime, Summertime",1958-08-25,61,74,61,2
Johnny Cash And The Tennessee Two,The Ways Of A Woman In Love,1958-08-25,62,0,0,0
Toni Arden,Padre,1958-08-25,63,71,63,4
Pat Boone,That's How Much I Love You,1958-08-25,64,45,39,4
George Hamilton IV,When Will I Know,1958-08-25,65,0,0,0
Eydie Gorme,Gotta Have Rain,1958-08-25,66,87,66,4
Boots Brown And His Blockbusters,Cerveza,1958-08-25,67,83,67,3
Betty Madigan,Dance Everyone Dance,1958-08-25,68,88,68,2
The Champs,Chariot Rock,1958-08-25,69,78,69,3
Faron Young,Alone With You,1958-08-25,70,68,51,3
Jody Reynolds,Endless Sleep,1958-08-25,71,32,17,4
Ray Price,City Lights,1958-08-25,72,0,0,0
DeJohn Sisters,Straighten Up & Fly Right,1958-08-25,73,76,73,2
The Rivieras,Count Every Star,1958-08-25,74,0,0,0
Jim Reeves,Blue Boy,1958-08-25,75,65,45,4
Oscar McLollie and Jeanette Baker,Hey Girl - Hey Boy,1958-08-25,76,61,61,3
The Diamonds,Happy Years,1958-08-25,77,73,73,4
The Tune Rockers,The Green Mosquito,1958-08-25,78,0,0,0
Paul Anka,Midnight,1958-08-25,79,69,69,4
Gogi Grant,Strange Are The Ways Of Love,1958-08-25,80,0,0,0
Warren Storm,Prisoner's Song,1958-08-25,81,0,0,0
Cozy Cole,Topsy II,1958-08-25,82,0,0,0
Jack Scott,Leroy,1958-08-25,83,-,56,3
Bobby Helms,Borrowed Dreams,1958-08-25,84,60,60,2
The Drifters,Drip Drop,1958-08-25,85,-,58,2
Janice Harper,Devotion,1958-08-25,86,89,86,2
The Quin-Tones,Down The Aisle Of Love,1958-08-25,87,91,87,2
Roger Williams,Near You,1958-08-25,88,67,67,2
Chuck Willis,My Life,1958-08-25,89,90,89,2
Jody Reynolds,Fire Of Love,1958-08-25,90,94,90,2
Duane Eddy His Twangy Guitar And The Rebels,Ramrod,1958-08-25,91,0,0,0
The Upbeats,Just Like In The Movies,1958-08-25,92,75,75,3
Sheb Wooley,The Purple People Eater,1958-08-25,93,81,24,4
The Shields,You Cheated,1958-08-25,94,0,0,0
Dion & The Belmonts,No One Knows,1958-08-25,95,0,0,0
Dean Martin,Return To Me,1958-08-25,96,92,48,4
David Seville,Little Brass Band,1958-08-25,97,0,0,0
Little Willie John,You're A Sweetheart,1958-08-25,98,66,66,3
The Slades,You Cheated,1958-08-25,99,49,42,4
Eileen Rodgers,Treasure Of Your Love,1958-08-25,100,0,0,0
Domenico Modugno,Nel Blu Dipinto Di Blu (Volar),1958-09-01,1,2,1,5
