TEAM,RANK,RANKORD,WIN,LOST
ATL,1,1st,60,22
BKN,8,8th,38,44
BOS,7,7th,40,42
CHA,11,11th,33,49
CHI,3,3rd,50,32
CLE,2,2nd,53,29
DAL,7,7th,50,32
DEN,12,12th,30,52
DET,12,12th,32,50
GS,1,1st,67,15
HOU,2,2nd,56,26
IND,8,8th,38,44
LAC,2,2nd,56,26
LAL,14,14th,21,61
MEM,4,4th,55,27
MIA,10,10th,37,45
MIL,6,6th,41,41
MIN,15,15th,16,66
NO,8,8th,45,37
NY,15,15th,17,65
OKC,8,8th,45,37
ORL,13,13th,25,57
PHI,14,14th,18,64
PHO,10,10th,39,43
POR,6,6th,51,31
SA,4,4th,55,27
SAC,13,13th,29,53
TOR,4,4th,49,33
UTA,11,11th,38,44
WAS,5,5th,46,36
