TEAM,RANK,RANKORD,WIN,LOST
ATL,3,3rd,48,34
BKN,14,14th,21,61
BOS,3,3rd,48,34
CHA,3,3rd,48,34
CHI,9,9th,42,40
CLE,1,1st,57,25
DAL,6,6th,42,40
DEN,10,10th,33,49
DET,8,8th,44,38
GS,1,1st,73,9
HOU,8,8th,41,41
IND,7,7th,45,37
LAC,4,4th,53,29
LAL,15,15th,17,65
MEM,6,6th,42,40
MIA,3,3rd,48,34
MIL,12,12th,33,49
MIN,13,13th,29,53
NO,12,12th,30,52
NY,13,13th,32,50
OKC,3,3rd,55,27
ORL,11,11th,35,47
PHI,15,15th,10,72
PHO,14,14th,23,59
POR,5,5th,44,38
SA,2,2nd,67,15
SAC,10,10th,33,49
TOR,2,2nd,56,26
UTA,9,9th,40,42
WAS,10,10th,41,41
