,Unnamed: 0,X,Y,STATE_NAME,DRAWSEQ,STATE_FIPS,SUB_REGION,STATE_ABBR,Statename,sum(P_total),sum(P_below_middle_school),sum(P_some_high_school),sum(P_high_school_equivalent),sum(P_some_college),sum(P_bachelor_and_above),avg(P_below_poverty),avg(median_age),avg(gini_index),avg(median_household_income),avg(percent_no_internet),Percentage_of_Population,Percentage_of_Education
37,37,-97.21367168,35.29139085,Oklahoma,38,40,West South Central,OK,OK,2426888,41483,113706,434240,505944,456862,33168.81818,35.86363636,0.4474,51692.636360000004,15.65294364,0.00888466121717583,0.007846046025377489
38,38,-80.40929272,35.22584676,North Carolina,39,37,South Atlantic,NC,NC,8180205,149754,405975,1319083,1694336,1835447,29172.175,40.1825,0.46046499999999996,49415.375,17.99647873,0.029947138109400934,0.02809654879944459
39,39,-86.31698823,35.83485183,Tennessee,40,47,East South Central,TN,TN,4560050,65522,217903,857941,896497,970652,32611.7,39.0,0.450295,53285.5,16.92098703,0.01669401281945547,0.014329402178908395
40,40,-99.6467987,31.16701918,Texas,41,48,West South Central,TX,TX,24321465,1004088,1256308,3680259,4443583,4744349,69595.33962,34.92830189,0.45652264200000003,56504.094339999996,16.93404686,0.08903912204864804,0.11428110917384077
41,41,-106.0406031,34.06700085,New Mexico,42,35,Mountain,NM,NM,1433698,39351,79004,246403,306646,281202,28494.11111,36.75555556,0.462644444,48121.44444,25.2038742,0.005248664552192995,0.005983792519660238
42,42,-86.73718987,32.61572806,Alabama,43,1,East South Central,AL,AL,3630681,60595,227807,693571,745035,684085,26845.2381,38.86190476,0.46133333299999996,47657.85714,19.59867208,0.013291660213671648,0.014581029362976233
43,43,-89.70179544,32.60209307,Mississippi,44,28,East South Central,MS,MS,1323725,18388,70285,239244,296384,229310,21835.9,36.47,0.45943,49744.4,21.58557995,0.004846061363238055,0.004483129855906656
44,44,-83.2515603,32.68142731,Georgia,45,13,South Atlantic,GA,GA,7810581,159993,372333,1249528,1450336,1786264,31210.19444,35.88611111,0.449319444,55194.833329999994,14.51589351,0.028593971412900147,0.026913339840485453
45,45,-80.56154036,33.65228681,South Carolina,46,45,South Atlantic,SC,SC,4212170,65821,237332,787067,884718,839004,28240.2381,39.27142857,0.462371429,49213.7619,19.24546998,0.01542044933229367,0.0153268104745263
46,46,-92.49322164,34.75466016,Arkansas,47,5,West South Central,AR,AR,1673132,31168,77730,332773,329774,307358,22897.818180000002,36.84545455,0.453245455,48644.09091,18.76604789,0.006125215086817287,0.005505665479328804
47,47,-91.64660467,30.98049478,Louisiana,48,22,West South Central,LA,LA,3396087,59691,217717,713750,626127,600529,37718.23529,36.27647059,0.480223529,48015.70588,20.44434462,0.012432828568543343,0.014025194671065078
48,48,-81.69981532,28.10959566,Florida,49,12,South Atlantic,FL,FL,19970450,518209,1025045,4069455,4276385,4152102,69643.92683,44.91463415,0.46305609799999997,51714.63415,14.00292029,0.07311037122625727,0.0780238413344239
49,49,-86.62660324,46.158544899999995,Michigan,50,26,East North Central,MI,MI,8469754,107510,364370,1585574,1875909,1720173,42416.75862,39.53448276,0.447513793,54352.55172,15.50620929,0.031007156029787885,0.02385731075305034
50,50,-152.00615219999997,63.08228183,Alaska,51,2,Pacific,AK,AK,204970,1261,4282,35796,53042,32098,9736.5,32.4,0.40535,73330.0,11.62951631,0.0007503803264446196,0.0002802430141225694
