,AreaName,PopulationFigures,HouseHoldfigures,TotalRecordedCrime,ViolenceAgainstThePerson,Homicide,ViolenceWithInjury,ViolenceWithoutInjury,StalkingAndHarassment,UnlawfulDriving,SexualOffences,Robbery,TheftOffences,Burglary,ResidentialBurglary,Non-residentialBurglary,VehicleOffences,TheftFromThePerson,BicycleTheft,Shoplifting,OtherTheftOffences,CriminalDamageAndArson,DrugOffences,PossessionOfWeaponsOffences,PublicOrderOffences,MiscellaneousCrimes
13,Leicestershire,"1,083,200","1,083,200","87,167","25,327",10,"6,840","12,234","6,231",12,"2,354","1,019","36,999","8,415","5,934","2,481","9,347","1,232","2,124","6,647","9,234","10,300","1,867",740,"6,638","1,923"
14,Lincolnshire,"751,200","751,200","48,582","14,822",5,"5,716","6,220","2,873",8,"1,907",334,"19,270","4,336","3,027","1,309","3,030",284,"1,038","5,524","5,058","6,084","1,778",525,"2,767","1,095"
15,Northamptonshire,"741,200","741,200","58,632","18,973",12,"7,206","8,596","3,157",2,"2,105",817,"24,560","5,863","3,699","2,164","7,466",595,902,"4,104","5,630","6,619","1,577",614,"2,249","1,118"
16,Nottinghamshire,"1,147,100","1,147,100","104,112","30,954",14,"13,601","9,475","7,857",7,"3,488","1,225","42,926","7,974","5,409","2,565","9,153","1,401","1,904","10,983","11,511","12,129","3,259",954,"6,807","2,370"
17,Staffordshire,"1,126,200","1,126,200","84,765","30,743",9,"10,886","10,766","9,069",13,"3,247",972,"30,069","6,032","3,824","2,208","5,668",484,"1,233","7,414","9,238","10,971","1,816",801,"4,258","1,888"
18,Warwickshire,"564,600","564,600","41,304","12,833",6,"4,440","5,308","3,075",4,"1,281",451,"18,051","4,115","3,006","1,109","4,907",462,729,"3,422","4,416","4,520",839,412,"2,194",723
19,West Mercia,"1,272,600","1,272,600","84,554","29,801",15,"9,778","12,263","7,717",28,"3,456",584,"32,079","7,658","5,413","2,245","5,623",911,"1,122","7,713","9,052","10,037","2,024",809,"4,249","1,515"
20,West Midlands,"2,897,300","2,897,300","252,689","70,507",50,"30,561","24,861","15,002",33,"7,016","8,107","116,925","29,850","22,141","7,709","37,250","3,230","3,058","18,774","24,763","25,695","4,558","2,281","13,918","3,682"
21,Bedfordshire,"664,600","664,600","55,173","14,666",7,"4,833","6,242","3,569",15,"1,611",797,"25,664","6,440","4,480","1,960","7,722",774,"1,296","3,966","5,466","6,101","1,343",415,"3,601",975
22,Cambridgeshire,"847,200","847,200","63,678","17,019",11,"5,081","8,950","2,953",24,"1,929",761,"29,112","5,429","3,587","1,842","6,084","1,015","4,228","5,041","7,315","7,491","1,325",534,"4,177","1,330"
23,Essex,"1,820,400","1,820,400","151,103","52,611",13,"14,316","20,074","18,166",42,"4,003","1,667","55,563","12,276","8,808","3,468","15,204","1,529","2,254","10,721","13,579","15,910","3,743","2,099","12,222","3,285"
24,Hertfordshire,"1,180,900","1,180,900","85,371","25,066",13,"8,726","11,253","5,047",27,"2,289",855,"35,839","6,574","4,783","1,791","9,059","1,380","1,444","8,607","8,775","9,216","3,148",715,"6,466","1,777"
25,Norfolk,"898,400","898,400","58,972","21,006",6,"6,876","9,990","4,120",14,"2,520",474,"17,838","3,528","2,281","1,247","2,778",500,"1,242","4,151","5,639","7,083","2,300",580,"5,496","1,675"
26,Suffolk,"757,000","757,000","54,124","18,726",7,"5,637","8,286","4,790",6,"2,260",462,"18,277","4,111","2,700","1,411","3,620",553,"1,116","4,148","4,729","6,520","1,290",450,"5,075","1,064"
27,City of London,"7,700","7,700","6,921","1,150",1,461,524,164,0,106,104,"4,291",325,15,310,246,683,455,902,"1,680",232,425,72,412,129
28,Metropolitan Police,"8,817,300","8,817,300","835,078","210,644",140,"76,904","84,909","48,642",49,"20,475","33,103","413,287","80,460","59,710","20,750","112,655","42,850","19,487","43,743","114,092","56,537","35,474","7,401","48,281","9,876"
29,Hampshire,"1,978,800","1,978,800","159,487","55,319",14,"21,387","24,199","9,695",24,"5,623","1,260","55,889","11,514","7,612","3,902","12,760","1,272","3,815","12,969","13,559","18,549","3,682","1,621","14,894","2,650"
30,Kent,"1,832,300","1,832,300","197,085","77,559",17,"20,522","35,995","20,958",67,"7,182","1,851","57,336","11,842","8,540","3,302","12,993","1,063","1,744","12,700","16,994","22,359","3,043","1,335","21,115","5,305"
31,Surrey,"1,185,300","1,185,300","74,745","22,558",1,"7,198","10,376","4,964",19,"2,349",440,"27,413","5,911","4,431","1,480","6,273",565,"1,237","4,347","9,080","9,457","2,853",585,"7,526","1,564"
32,Sussex,"1,692,800","1,692,800","114,049","37,795",30,"13,676","16,950","7,125",14,"4,154","1,053","39,713","7,177","4,469","2,708","8,251","1,490","2,204","7,983","12,608","13,767","3,483","1,598","10,203","2,283"
33,Thames Valley,"2,391,700","2,391,700","162,070","46,311",17,"15,711","22,168","8,396",19,"5,453","1,602","72,960","12,283","8,370","3,913","17,093","2,965","5,581","14,256","20,782","19,104","5,065","1,419","6,848","3,308"
34,Avon and Somerset,"1,695,000","1,695,000","135,955","42,450",15,"12,804","17,830","11,798",3,"4,205","1,447","49,479","10,066","6,791","3,275","10,606","1,132","3,420","10,663","13,592","15,487","2,876",782,"17,450","1,779"
35,Devon and Cornwall,"1,749,100","1,749,100","106,616","40,929",19,"15,662","15,097","10,110",41,"4,547",601,"31,752","5,761","2,560","3,201","5,769",844,911,"7,725","10,742","14,527","3,982",932,"7,151","2,195"
36,Dorset,"770,700","770,700","53,099","17,950",3,"6,186","7,667","4,087",7,"1,897",376,"20,398","4,270","2,416","1,854","3,812",493,"1,360","4,046","6,417","6,861","1,609",323,"3,003",682
37,Gloucestershire,"628,100","628,100","35,292","9,443",8,"5,173","2,251","2,004",7,"1,085",368,"16,880","4,183","3,010","1,173","4,084",395,980,"3,373","3,865","4,456",959,246,"1,413",442
38,Wiltshire,"716,400","716,400","42,483","13,925",2,"5,701","5,840","2,380",2,"1,646",338,"16,069","3,222","2,071","1,151","2,895",347,826,"4,300","4,479","5,709","1,044",305,"2,710",737
39,Dyfed-Powys,"516,800","516,800","26,694","9,780",5,"3,039","4,016","2,720",0,925,62,"7,682","1,515",999,516,902,79,159,"1,938","3,089","4,042","1,816",179,"1,651",557
40,Gwent,"587,700","587,700","56,497","18,971",4,"5,753","7,140","6,071",3,"1,457",281,"16,080","3,634","2,520","1,114","3,338",364,369,"3,633","4,742","9,121","1,390",214,"7,621","1,362"
41,North Wales,"696,300","696,300","58,184","23,239",6,"7,076","10,061","6,094",2,"3,091",214,"16,091","3,794","2,579","1,215","2,214",205,543,"4,204","5,131","7,586","1,352",331,"5,018","1,262"
42,South Wales,"1,324,400","1,324,400","108,729","35,454",12,"12,143","11,540","11,741",18,"3,266",534,"38,487","6,921","4,711","2,210","7,774","1,089","2,025","10,495","10,183","12,787","4,197",667,"11,238","2,099"
