Area Name,"Population figures
 (mid-2017)3  rounded to 100","Household figures
 (mid-2017)4  rounded to 100 ",,Total recorded crime (excluding fraud5),,Violence against the person,Homicide,Violence with injury,Violence without injury,"Stalking
and harassment",Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,"Residential burglary6,7,8","Residential burglary (households) 6,7,9","Non-residential burglary7,8",Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
South Yorkshire," 1,393,400 "," 586,100 ",, 102.4 ,, 31.4 , 0.0 , 10.3 , 9.4 , 11.7 , 0.0 , 2.8 , 1.2 , 39.5 , 10.1 , 7.1 , 16.8 , 3.0 , 9.0 , 1.5 , 0.8 , 7.8 , 10.3 , 12.9 , 1.8 , 1.0 , 9.1 , 2.8 
West Yorkshire," 2,307,000 "," 948,000 ",, 126.4 ,, 44.3 , 0.0 , 12.7 , 18.6 , 13.0 , 0.0 , 3.7 , 1.7 , 44.0 , 11.4 , 8.3 , 20.2 , 3.1 , 10.6 , 1.8 , 1.1 , 8.1 , 11.1 , 13.5 , 2.7 , 1.0 , 12.2 , 3.2 
Derbyshire," 1,049,000 "," 450,700 ",, 56.4 ,, 15.8 , 0.0 , 9.0 , 4.4 , 2.4 , 0.0 , 1.9 , 0.6 , 24.6 , 5.9 , 4.3 , 9.9 , 1.7 , 5.2 , 0.7 , 1.0 , 5.6 , 6.2 , 7.5 , 2.1 , 0.6 , 2.1 , 1.2 
Leicestershire," 1,083,200 "," 424,700 ",, 80.5 ,, 23.4 , 0.0 , 6.3 , 11.3 , 5.8 , 0.0 , 2.2 , 0.9 , 34.2 , 7.8 , 5.5 , 14.0 , 2.3 , 8.6 , 1.1 , 2.0 , 6.1 , 8.5 , 9.5 , 1.7 , 0.7 , 6.1 , 1.8 
Lincolnshire," 751,200 "," 323,100 ",, 64.7 ,, 19.7 , 0.0 , 7.6 , 8.3 , 3.8 , 0.0 , 2.5 , 0.4 , 25.7 , 5.8 , 4.0 , 9.4 , 1.7 , 4.0 , 0.4 , 1.4 , 7.4 , 6.7 , 8.1 , 2.4 , 0.7 , 3.7 , 1.5 
Northamptonshire," 741,200 "," 306,600 ",, 79.1 ,, 25.6 , 0.0 , 9.7 , 11.6 , 4.3 , 0.0 , 2.8 , 1.1 , 33.1 , 7.9 , 5.0 , 12.1 , 2.9 , 10.1 , 0.8 , 1.2 , 5.5 , 7.6 , 8.9 , 2.1 , 0.8 , 3.0 , 1.5 
Nottinghamshire," 1,147,100 "," 477,300 ",, 90.8 ,, 27.0 , 0.0 , 11.9 , 8.3 , 6.8 , 0.0 , 3.0 , 1.1 , 37.4 , 7.0 , 4.7 , 11.3 , 2.2 , 8.0 , 1.2 , 1.7 , 9.6 , 10.0 , 10.6 , 2.8 , 0.8 , 5.9 , 2.1 
Staffordshire," 1,126,200 "," 478,200 ",, 75.3 ,, 27.3 , 0.0 , 9.7 , 9.6 , 8.1 , 0.0 , 2.9 , 0.9 , 26.7 , 5.4 , 3.4 , 8.0 , 2.0 , 5.0 , 0.4 , 1.1 , 6.6 , 8.2 , 9.7 , 1.6 , 0.7 , 3.8 , 1.7 
Warwickshire," 564,600 "," 238,900 ",, 73.2 ,, 22.7 , 0.0 , 7.9 , 9.4 , 5.4 , 0.0 , 2.3 , 0.8 , 32.0 , 7.3 , 5.3 , 12.6 , 2.0 , 8.7 , 0.8 , 1.3 , 6.1 , 7.8 , 8.0 , 1.5 , 0.7 , 3.9 , 1.3 
West Mercia," 1,272,600 "," 537,500 ",, 66.4 ,, 23.4 , 0.0 , 7.7 , 9.6 , 6.1 , 0.0 , 2.7 , 0.5 , 25.2 , 6.0 , 4.3 , 10.1 , 1.8 , 4.4 , 0.7 , 0.9 , 6.1 , 7.1 , 7.9 , 1.6 , 0.6 , 3.3 , 1.2 
